date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260519,FOURCASTNETV2-SMALL,20260518_12_AI,72.725,0.0,7.72,7.72,72.72,0.0,7.72,7.72
20260520,FOURCASTNETV2-SMALL,20260518_12_AI,69.07,0.0,4.07,4.07,69.07,0.0,4.07,4.07
20260521,FOURCASTNETV2-SMALL,20260518_12_AI,61.685,3.31,0.0,3.31,61.68,3.31,0.0,3.31
20260522,FOURCASTNETV2-SMALL,20260518_12_AI,59.84,5.16,0.0,5.16,59.84,5.16,0.0,5.16
20260523,FOURCASTNETV2-SMALL,20260518_12_AI,60.0275,4.97,0.0,4.97,60.03,4.97,0.0,4.97
20260524,FOURCASTNETV2-SMALL,20260518_12_AI,61.6475,3.35,0.0,3.35,61.65,3.35,0.0,3.35
20260525,FOURCASTNETV2-SMALL,20260518_12_AI,64.34,0.66,0.0,0.66,64.34,0.66,0.0,0.66
20260526,FOURCASTNETV2-SMALL,20260518_12_AI,67.1075,0.0,2.11,2.11,67.11,0.0,2.11,2.11
20260527,FOURCASTNETV2-SMALL,20260518_12_AI,69.36500000000001,0.0,4.37,4.37,69.37,0.0,4.37,4.37
20260528,FOURCASTNETV2-SMALL,20260518_12_AI,71.0975,0.0,6.1,6.1,71.1,0.0,6.1,6.1
20260529,FOURCASTNETV2-SMALL,20260518_12_AI,72.725,0.0,7.72,7.72,72.72,0.0,7.72,7.72
20260530,FOURCASTNETV2-SMALL,20260518_12_AI,74.3775,0.0,9.38,9.38,74.38,0.0,9.38,9.38
20260531,FOURCASTNETV2-SMALL,20260518_12_AI,74.35,0.0,9.35,9.35,74.35,0.0,9.35,9.35
20260601,FOURCASTNETV2-SMALL,20260518_12_AI,73.8325,0.0,8.83,8.83,73.83,0.0,8.83,8.83
20260602,FOURCASTNETV2-SMALL,20260518_12_AI,69.77999999999999,0.0,4.78,4.78,69.78,0.0,4.78,4.78
