date,model,run_id,mean_temp,tdd,tdd_gw
20260605,FOURCASTNETV2-SMALL,20260604_12_AI,73.2475,0.0,0.0
20260606,FOURCASTNETV2-SMALL,20260604_12_AI,74.42750000000001,0.0,0.0
20260607,FOURCASTNETV2-SMALL,20260604_12_AI,73.77,0.0,0.0
20260608,FOURCASTNETV2-SMALL,20260604_12_AI,72.02,0.0,0.0
20260609,FOURCASTNETV2-SMALL,20260604_12_AI,71.23,0.0,0.0
20260610,FOURCASTNETV2-SMALL,20260604_12_AI,72.2525,0.0,0.0
20260611,FOURCASTNETV2-SMALL,20260604_12_AI,74.0625,0.0,0.0
20260612,FOURCASTNETV2-SMALL,20260604_12_AI,75.335,0.0,0.0
20260613,FOURCASTNETV2-SMALL,20260604_12_AI,76.485,0.0,0.0
20260614,FOURCASTNETV2-SMALL,20260604_12_AI,75.03,0.0,0.0
20260615,FOURCASTNETV2-SMALL,20260604_12_AI,73.775,0.0,0.0
20260616,FOURCASTNETV2-SMALL,20260604_12_AI,73.905,0.0,0.0
20260617,FOURCASTNETV2-SMALL,20260604_12_AI,71.5525,0.0,0.0
20260618,FOURCASTNETV2-SMALL,20260604_12_AI,68.055,0.995,0.995
20260619,FOURCASTNETV2-SMALL,20260604_12_AI,66.28666666666668,1.2433333333333334,1.2433333333333334
