date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260620,FOURCASTNETV2-SMALL,20260619_12_AI,70.6325,0.065,5.6975,5.762499999999999,70.6325,0.065,5.6975,5.762499999999999
20260621,FOURCASTNETV2-SMALL,20260619_12_AI,69.595,0.36250000000000004,4.9575,5.32,69.595,0.36250000000000004,4.9575,5.32
20260622,FOURCASTNETV2-SMALL,20260619_12_AI,69.295,0.0,4.295,4.295,69.295,0.0,4.295,4.295
20260623,FOURCASTNETV2-SMALL,20260619_12_AI,69.03,0.25,4.28,4.53,69.03,0.25,4.28,4.53
20260624,FOURCASTNETV2-SMALL,20260619_12_AI,70.4275,0.0,5.4275,5.4275,70.4275,0.0,5.4275,5.4275
20260625,FOURCASTNETV2-SMALL,20260619_12_AI,71.125,0.0,6.125,6.125,71.125,0.0,6.125,6.125
20260626,FOURCASTNETV2-SMALL,20260619_12_AI,71.335,0.0,6.335,6.335,71.335,0.0,6.335,6.335
20260627,FOURCASTNETV2-SMALL,20260619_12_AI,71.2775,0.0,6.2775,6.2775,71.2775,0.0,6.2775,6.2775
20260628,FOURCASTNETV2-SMALL,20260619_12_AI,73.08,0.0,8.08,8.08,73.08,0.0,8.08,8.08
20260629,FOURCASTNETV2-SMALL,20260619_12_AI,74.715,0.0,9.715,9.715,74.715,0.0,9.715,9.715
20260630,FOURCASTNETV2-SMALL,20260619_12_AI,75.83000000000001,0.0,10.83,10.83,75.83000000000001,0.0,10.83,10.83
20260701,FOURCASTNETV2-SMALL,20260619_12_AI,76.9425,0.0,11.9425,11.9425,76.9425,0.0,11.9425,11.9425
20260702,FOURCASTNETV2-SMALL,20260619_12_AI,77.785,0.0,12.785,12.785,77.785,0.0,12.785,12.785
20260703,FOURCASTNETV2-SMALL,20260619_12_AI,78.0425,0.0,13.0425,13.0425,78.0425,0.0,13.0425,13.0425
20260704,FOURCASTNETV2-SMALL,20260619_12_AI,74.86666666666666,0.0,9.866666666666665,9.866666666666665,74.86666666666666,0.0,9.866666666666665,9.866666666666665
