date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
20260520,FOURCASTNETV2-SMALL,20260519_12_AI,69.1325,0.0,4.13,4.13,69.13,0.0,4.13,4.13
20260521,FOURCASTNETV2-SMALL,20260519_12_AI,61.745000000000005,3.25,0.0,3.25,61.74,3.25,0.0,3.25
20260522,FOURCASTNETV2-SMALL,20260519_12_AI,59.4725,5.53,0.0,5.53,59.47,5.53,0.0,5.53
20260523,FOURCASTNETV2-SMALL,20260519_12_AI,59.05,5.95,0.0,5.95,59.05,5.95,0.0,5.95
20260524,FOURCASTNETV2-SMALL,20260519_12_AI,60.14,4.86,0.0,4.86,60.14,4.86,0.0,4.86
20260525,FOURCASTNETV2-SMALL,20260519_12_AI,62.870000000000005,2.13,0.0,2.13,62.87,2.13,0.0,2.13
20260526,FOURCASTNETV2-SMALL,20260519_12_AI,64.9725,0.03,0.0,0.03,64.97,0.03,0.0,0.03
20260527,FOURCASTNETV2-SMALL,20260519_12_AI,67.6575,0.0,2.66,2.66,67.66,0.0,2.66,2.66
20260528,FOURCASTNETV2-SMALL,20260519_12_AI,68.97749999999999,0.0,3.98,3.98,68.98,0.0,3.98,3.98
20260529,FOURCASTNETV2-SMALL,20260519_12_AI,71.0625,0.0,6.06,6.06,71.06,0.0,6.06,6.06
20260530,FOURCASTNETV2-SMALL,20260519_12_AI,73.505,0.0,8.5,8.5,73.5,0.0,8.5,8.5
20260531,FOURCASTNETV2-SMALL,20260519_12_AI,74.7325,0.0,9.73,9.73,74.73,0.0,9.73,9.73
20260601,FOURCASTNETV2-SMALL,20260519_12_AI,75.0,0.0,10.0,10.0,75.0,0.0,10.0,10.0
20260602,FOURCASTNETV2-SMALL,20260519_12_AI,74.95,0.0,9.95,9.95,74.95,0.0,9.95,9.95
20260603,FOURCASTNETV2-SMALL,20260519_12_AI,73.05666666666667,0.0,8.06,8.06,73.06,0.0,8.06,8.06
