date,model,run_id,mean_temp,tdd,tdd_gw
20260225,FOURCASTNETV2-SMALL,20260225_12_AI,33.705,31.295,31.295
20260226,FOURCASTNETV2-SMALL,20260225_12_AI,33.11,31.89,31.89
20260227,FOURCASTNETV2-SMALL,20260225_12_AI,36.95,28.05,28.05
20260228,FOURCASTNETV2-SMALL,20260225_12_AI,40.567499999999995,24.4325,24.4325
20260301,FOURCASTNETV2-SMALL,20260225_12_AI,32.3675,32.6325,32.6325
20260302,FOURCASTNETV2-SMALL,20260225_12_AI,24.705,40.295,40.295
20260303,FOURCASTNETV2-SMALL,20260225_12_AI,26.0075,38.9925,38.9925
20260304,FOURCASTNETV2-SMALL,20260225_12_AI,33.2725,31.7275,31.7275
20260305,FOURCASTNETV2-SMALL,20260225_12_AI,43.65,21.35,21.35
20260306,FOURCASTNETV2-SMALL,20260225_12_AI,51.215,13.785,13.785
20260307,FOURCASTNETV2-SMALL,20260225_12_AI,53.47,11.53,11.53
20260308,FOURCASTNETV2-SMALL,20260225_12_AI,56.5625,8.4375,8.4375
20260309,FOURCASTNETV2-SMALL,20260225_12_AI,57.34,7.66,7.66
20260310,FOURCASTNETV2-SMALL,20260225_12_AI,58.9125,6.0875,6.0875
20260311,FOURCASTNETV2-SMALL,20260225_12_AI,62.480000000000004,3.5975,3.5975
20260312,FOURCASTNETV2-SMALL,20260225_12_AI,60.77333333333333,4.733333333333333,4.733333333333333
