date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-09-23,61.46,3.54,0.0,3.54,61.46,3.54,0.0,3.54,AIFS_ENS,20260923_00
2026-09-24,61.63,3.37,0.0,3.37,61.63,3.37,0.0,3.37,AIFS_ENS,20260923_00
2026-09-25,61.04,3.96,0.0,3.96,61.04,3.96,0.0,3.96,AIFS_ENS,20260923_00
2026-09-26,61.93,3.07,0.0,3.07,61.93,3.07,0.0,3.07,AIFS_ENS,20260923_00
2026-09-27,62.93,2.07,0.0,2.07,62.93,2.07,0.0,2.07,AIFS_ENS,20260923_00
2026-09-28,63.0,2.0,0.0,2.0,63.0,2.0,0.0,2.0,AIFS_ENS,20260923_00
2026-09-29,64.36,0.64,0.0,0.64,64.36,0.64,0.0,0.64,AIFS_ENS,20260923_00
2026-09-30,66.18,0.0,1.18,1.18,66.18,0.0,1.18,1.18,AIFS_ENS,20260923_00
2026-10-01,67.68,0.0,2.68,2.68,67.68,0.0,2.68,2.68,AIFS_ENS,20260923_00
2026-10-02,67.34,0.0,2.34,2.34,67.34,0.0,2.34,2.34,AIFS_ENS,20260923_00
2026-10-03,62.58,2.42,0.0,2.42,62.58,2.42,0.0,2.42,AIFS_ENS,20260923_00
2026-10-04,61.2,3.8,0.0,3.8,61.2,3.8,0.0,3.8,AIFS_ENS,20260923_00
2026-10-05,63.66,1.34,0.0,1.34,63.66,1.34,0.0,1.34,AIFS_ENS,20260923_00
2026-10-06,65.83,0.0,0.83,0.83,65.83,0.0,0.83,0.83,AIFS_ENS,20260923_00
2026-10-07,61.7,3.3,0.0,3.3,61.7,3.3,0.0,3.3,AIFS_ENS,20260923_00
