date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-09-05,74.26,0.0,9.26,9.26,74.26,0.0,9.26,9.26,AIGEFS,20260905_18
2026-09-06,69.4,0.0,4.4,4.4,69.4,0.0,4.4,4.4,AIGEFS,20260905_18
2026-09-07,67.4,0.0,2.4,2.4,67.4,0.0,2.4,2.4,AIGEFS,20260905_18
2026-09-08,69.23,0.0,4.23,4.23,69.23,0.0,4.23,4.23,AIGEFS,20260905_18
2026-09-09,70.75,0.0,5.75,5.75,70.75,0.0,5.75,5.75,AIGEFS,20260905_18
2026-09-10,70.9,0.0,5.9,5.9,70.9,0.0,5.9,5.9,AIGEFS,20260905_18
2026-09-11,65.94,0.0,0.94,0.94,65.94,0.0,0.94,0.94,AIGEFS,20260905_18
2026-09-12,64.03,0.97,0.0,0.97,64.03,0.97,0.0,0.97,AIGEFS,20260905_18
2026-09-13,66.27,0.0,1.27,1.27,66.27,0.0,1.27,1.27,AIGEFS,20260905_18
2026-09-14,67.9,0.0,2.9,2.9,67.9,0.0,2.9,2.9,AIGEFS,20260905_18
2026-09-15,67.46,0.0,2.46,2.46,67.46,0.0,2.46,2.46,AIGEFS,20260905_18
2026-09-16,66.36,0.0,1.36,1.36,66.36,0.0,1.36,1.36,AIGEFS,20260905_18
2026-09-17,64.6,0.4,0.0,0.4,64.6,0.4,0.0,0.4,AIGEFS,20260905_18
2026-09-18,63.98,1.02,0.0,1.02,63.98,1.02,0.0,1.02,AIGEFS,20260905_18
2026-09-19,63.52,1.48,0.0,1.48,63.52,1.48,0.0,1.48,AIGEFS,20260905_18
2026-09-20,64.56,0.44,0.0,0.44,64.56,0.44,0.0,0.44,AIGEFS,20260905_18
