date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-08-17,74.76,0,9.76,9.76,74.76,0,9.76,9.76,AIGFS,20260816_00
2026-08-18,73.89,0,8.89,8.89,73.89,0,8.89,8.89,AIGFS,20260816_00
2026-08-19,73.67,0,8.67,8.67,73.67,0,8.67,8.67,AIGFS,20260816_00
2026-08-20,72.35,0,7.35,7.35,72.35,0,7.35,7.35,AIGFS,20260816_00
2026-08-21,70.78,0,5.78,5.78,70.78,0,5.78,5.78,AIGFS,20260816_00
2026-08-22,71.13,0,6.13,6.13,71.13,0,6.13,6.13,AIGFS,20260816_00
2026-08-23,70.69,0,5.69,5.69,70.69,0,5.69,5.69,AIGFS,20260816_00
2026-08-24,69.29,0,4.29,4.29,69.29,0,4.29,4.29,AIGFS,20260816_00
2026-08-25,71.03,0,6.03,6.03,71.03,0,6.03,6.03,AIGFS,20260816_00
2026-08-26,70.44,0,5.44,5.44,70.44,0,5.44,5.44,AIGFS,20260816_00
2026-08-27,68.36,0,3.36,3.36,68.36,0,3.36,3.36,AIGFS,20260816_00
2026-08-28,68.89,0,3.89,3.89,68.89,0,3.89,3.89,AIGFS,20260816_00
2026-08-29,69.41,0,4.41,4.41,69.41,0,4.41,4.41,AIGFS,20260816_00
2026-08-30,68.74,0,3.74,3.74,68.74,0,3.74,3.74,AIGFS,20260816_00
2026-08-31,65.09,0,0.09,0.09,65.09,0,0.09,0.09,AIGFS,20260816_00
