date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-08-12,76.47,0,11.47,11.47,76.47,0,11.47,11.47,CMC_ENS,20260812_00
2026-08-13,76.03,0,11.03,11.03,76.03,0,11.03,11.03,CMC_ENS,20260812_00
2026-08-14,75.9,0,10.9,10.9,75.9,0,10.9,10.9,CMC_ENS,20260812_00
2026-08-15,75.36,0,10.36,10.36,75.36,0,10.36,10.36,CMC_ENS,20260812_00
2026-08-16,75.95,0,10.95,10.95,75.95,0,10.95,10.95,CMC_ENS,20260812_00
2026-08-17,75.75,0,10.75,10.75,75.75,0,10.75,10.75,CMC_ENS,20260812_00
2026-08-18,74.55,0,9.55,9.55,74.55,0,9.55,9.55,CMC_ENS,20260812_00
2026-08-19,74.15,0,9.15,9.15,74.15,0,9.15,9.15,CMC_ENS,20260812_00
2026-08-20,74.46,0,9.46,9.46,74.46,0,9.46,9.46,CMC_ENS,20260812_00
2026-08-21,77.33,0,12.33,12.33,77.33,0,12.33,12.33,CMC_ENS,20260812_00
2026-08-22,79.25,0,14.25,14.25,79.25,0,14.25,14.25,CMC_ENS,20260812_00
2026-08-23,77.66,0,12.66,12.66,77.66,0,12.66,12.66,CMC_ENS,20260812_00
2026-08-24,76.14,0,11.14,11.14,76.14,0,11.14,11.14,CMC_ENS,20260812_00
2026-08-25,77.75,0,12.75,12.75,77.75,0,12.75,12.75,CMC_ENS,20260812_00
2026-08-26,74.52,0,9.52,9.52,74.52,0,9.52,9.52,CMC_ENS,20260812_00
2026-08-27,69.97,0,4.97,4.97,69.97,0,4.97,4.97,CMC_ENS,20260812_00
