date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-09-04,77.42,0.0,12.42,12.42,77.42,0.0,12.42,12.42,EC46,20260904_00
2026-09-05,76.01,0.0,11.01,11.01,76.01,0.0,11.01,11.01,EC46,20260904_00
2026-09-06,72.38,0.0,7.38,7.38,72.38,0.0,7.38,7.38,EC46,20260904_00
2026-09-07,71.29,0.0,6.29,6.29,71.29,0.0,6.29,6.29,EC46,20260904_00
2026-09-08,73.79,0.0,8.79,8.79,73.79,0.0,8.79,8.79,EC46,20260904_00
2026-09-09,77.74,0.0,12.74,12.74,77.74,0.0,12.74,12.74,EC46,20260904_00
2026-09-10,76.83,0.0,11.83,11.83,76.83,0.0,11.83,11.83,EC46,20260904_00
2026-09-11,71.45,0.0,6.45,6.45,71.45,0.0,6.45,6.45,EC46,20260904_00
2026-09-12,70.53,0.0,5.53,5.53,70.53,0.0,5.53,5.53,EC46,20260904_00
2026-09-13,74.04,0.0,9.04,9.04,74.04,0.0,9.04,9.04,EC46,20260904_00
2026-09-14,76.63,0.0,11.63,11.63,76.63,0.0,11.63,11.63,EC46,20260904_00
2026-09-15,71.25,0.0,6.25,6.25,71.25,0.0,6.25,6.25,EC46,20260904_00
2026-09-16,69.74,0.0,4.74,4.74,69.74,0.0,4.74,4.74,EC46,20260904_00
2026-09-17,73.37,0.0,8.37,8.37,73.37,0.0,8.37,8.37,EC46,20260904_00
2026-09-18,75.2,0.0,10.2,10.2,75.2,0.0,10.2,10.2,EC46,20260904_00
2026-09-19,66.03,0.0,1.03,1.03,66.03,0.0,1.03,1.03,EC46,20260904_00
2026-09-20,64.67,0.33,0.0,0.33,64.67,0.33,0.0,0.33,EC46,20260904_00
2026-09-21,65.86,0.0,0.86,0.86,65.86,0.0,0.86,0.86,EC46,20260904_00
2026-09-22,66.89,0.0,1.89,1.89,66.89,0.0,1.89,1.89,EC46,20260904_00
2026-09-23,68.0,0.0,3.0,3.0,68.0,0.0,3.0,3.0,EC46,20260904_00
2026-09-24,68.67,0.0,3.67,3.67,68.67,0.0,3.67,3.67,EC46,20260904_00
2026-09-25,70.13,0.0,5.13,5.13,70.13,0.0,5.13,5.13,EC46,20260904_00
2026-09-26,70.45,0.0,5.45,5.45,70.45,0.0,5.45,5.45,EC46,20260904_00
2026-09-27,70.45,0.0,5.45,5.45,70.45,0.0,5.45,5.45,EC46,20260904_00
2026-09-28,70.24,0.0,5.24,5.24,70.24,0.0,5.24,5.24,EC46,20260904_00
2026-09-29,70.13,0.0,5.13,5.13,70.13,0.0,5.13,5.13,EC46,20260904_00
2026-09-30,70.62,0.0,5.62,5.62,70.62,0.0,5.62,5.62,EC46,20260904_00
2026-10-01,67.48,0.0,2.48,2.48,67.48,0.0,2.48,2.48,EC46,20260904_00
2026-10-02,62.29,2.71,0.0,2.71,62.29,2.71,0.0,2.71,EC46,20260904_00
2026-10-03,61.96,3.04,0.0,3.04,61.96,3.04,0.0,3.04,EC46,20260904_00
2026-10-04,63.06,1.94,0.0,1.94,63.06,1.94,0.0,1.94,EC46,20260904_00
2026-10-05,64.83,0.17,0.0,0.17,64.83,0.17,0.0,0.17,EC46,20260904_00
2026-10-06,64.18,0.82,0.0,0.82,64.18,0.82,0.0,0.82,EC46,20260904_00
2026-10-07,65.32,0.0,0.32,0.32,65.32,0.0,0.32,0.32,EC46,20260904_00
2026-10-08,64.98,0.02,0.0,0.02,64.98,0.02,0.0,0.02,EC46,20260904_00
2026-10-09,60.23,4.77,0.0,4.77,60.23,4.77,0.0,4.77,EC46,20260904_00
2026-10-10,56.81,8.19,0.0,8.19,56.81,8.19,0.0,8.19,EC46,20260904_00
2026-10-11,59.47,5.53,0.0,5.53,59.47,5.53,0.0,5.53,EC46,20260904_00
2026-10-12,63.32,1.68,0.0,1.68,63.32,1.68,0.0,1.68,EC46,20260904_00
2026-10-13,64.02,0.98,0.0,0.98,64.02,0.98,0.0,0.98,EC46,20260904_00
2026-10-14,63.93,1.07,0.0,1.07,63.93,1.07,0.0,1.07,EC46,20260904_00
2026-10-15,63.93,1.07,0.0,1.07,63.93,1.07,0.0,1.07,EC46,20260904_00
2026-10-16,62.73,2.27,0.0,2.27,62.73,2.27,0.0,2.27,EC46,20260904_00
2026-10-17,58.31,6.69,0.0,6.69,58.31,6.69,0.0,6.69,EC46,20260904_00
2026-10-18,58.44,6.56,0.0,6.56,58.44,6.56,0.0,6.56,EC46,20260904_00
2026-10-19,58.75,6.25,0.0,6.25,58.75,6.25,0.0,6.25,EC46,20260904_00
