date,mean_temp,tdd,model,run_id
2026-02-21,38.06,26.94,ECMWF,20260221_00
2026-02-22,37.91,27.09,ECMWF,20260221_00
2026-02-23,37.43,27.57,ECMWF,20260221_00
2026-02-24,37.39,27.61,ECMWF,20260221_00
2026-02-25,37.5,27.5,ECMWF,20260221_00
2026-02-26,37.88,27.12,ECMWF,20260221_00
2026-02-27,38.47,26.53,ECMWF,20260221_00
2026-02-28,38.38,26.62,ECMWF,20260221_00
2026-03-01,38.39,26.61,ECMWF,20260221_00
2026-03-02,38.17,26.83,ECMWF,20260221_00
2026-03-03,37.98,27.02,ECMWF,20260221_00
2026-03-04,37.83,27.17,ECMWF,20260221_00
2026-03-05,37.67,27.33,ECMWF,20260221_00
2026-03-06,37.58,27.42,ECMWF,20260221_00
2026-03-07,37.39,27.61,ECMWF,20260221_00
2026-03-08,37.35,27.65,ECMWF,20260221_00
