date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-02-25,46.47,18.53,0,18.53,34.41,30.59,0,30.59,ECMWF,20260225_00
2026-02-26,51.14,13.86,0,13.86,37.87,27.13,0,27.13,ECMWF,20260225_00
2026-02-27,52.75,12.25,0,12.25,38.64,26.36,0,26.36,ECMWF,20260225_00
2026-02-28,54.18,10.82,0,10.82,44.07,20.93,0,20.93,ECMWF,20260225_00
2026-03-01,51.51,13.49,0,13.49,40.34,24.66,0,24.66,ECMWF,20260225_00
2026-03-02,49.04,15.96,0,15.96,33.87,31.13,0,31.13,ECMWF,20260225_00
2026-03-03,49.27,15.73,0,15.73,32.32,32.68,0,32.68,ECMWF,20260225_00
2026-03-04,51.76,13.24,0,13.24,39.75,25.25,0,25.25,ECMWF,20260225_00
2026-03-05,51.94,13.06,0,13.06,40.62,24.38,0,24.38,ECMWF,20260225_00
2026-03-06,52.38,12.62,0,12.62,46.65,18.35,0,18.35,ECMWF,20260225_00
2026-03-07,54.82,10.18,0,10.18,49.09,15.91,0,15.91,ECMWF,20260225_00
2026-03-08,55.51,9.49,0,9.49,51.99,13.01,0,13.01,ECMWF,20260225_00
2026-03-09,56.01,8.99,0,8.99,55.37,9.63,0,9.63,ECMWF,20260225_00
2026-03-10,52.68,12.32,0,12.32,50.31,14.69,0,14.69,ECMWF,20260225_00
2026-03-11,51.27,13.73,0,13.73,46.32,18.68,0,18.68,ECMWF,20260225_00
2026-03-12,52.53,12.47,0,12.47,49.06,15.94,0,15.94,ECMWF,20260225_00
