date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-26,51.38,13.62,51.38,13.62,ECMWF,20260226_00
2026-02-27,52.75,12.25,52.75,12.25,ECMWF,20260226_00
2026-02-28,54.09,10.91,54.09,10.91,ECMWF,20260226_00
2026-03-01,51.63,13.37,51.63,13.37,ECMWF,20260226_00
2026-03-02,49.36,15.64,49.36,15.64,ECMWF,20260226_00
2026-03-03,50.07,14.93,50.07,14.93,ECMWF,20260226_00
2026-03-04,52.48,12.52,52.48,12.52,ECMWF,20260226_00
2026-03-05,53.59,11.41,53.59,11.41,ECMWF,20260226_00
2026-03-06,53.76,11.24,53.76,11.24,ECMWF,20260226_00
2026-03-07,53.95,11.05,53.95,11.05,ECMWF,20260226_00
2026-03-08,53.58,11.42,53.58,11.42,ECMWF,20260226_00
2026-03-09,54.08,10.92,54.08,10.92,ECMWF,20260226_00
2026-03-10,53.87,11.13,53.87,11.13,ECMWF,20260226_00
2026-03-11,52.33,12.67,52.33,12.67,ECMWF,20260226_00
2026-03-12,51.04,13.96,51.04,13.96,ECMWF,20260226_00
2026-03-13,50.34,14.66,50.34,14.66,ECMWF,20260226_00
