date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-05-01,59.82,5.18,0.0,5.18,53.29,11.71,0.0,11.71,ECMWF,20260501_00,23.42
2026-05-02,59.94,5.06,0.0,5.06,52.43,12.57,0.0,12.57,ECMWF,20260501_00,25.14
2026-05-03,61.58,3.42,0.0,3.42,53.96,11.04,0.0,11.04,ECMWF,20260501_00,22.08
2026-05-04,63.08,1.92,0.0,1.92,57.78,7.22,0.0,7.22,ECMWF,20260501_00,14.44
2026-05-05,62.82,2.18,0.0,2.18,61.98,3.02,0.0,3.02,ECMWF,20260501_00,6.04
2026-05-06,61.54,3.46,0.0,3.46,58.24,6.76,0.0,6.76,ECMWF,20260501_00,13.52
2026-05-07,62.73,2.27,0.0,2.27,56.48,8.52,0.0,8.52,ECMWF,20260501_00,17.04
2026-05-08,64.02,0.98,0.0,0.98,55.15,9.85,0.0,9.85,ECMWF,20260501_00,19.7
2026-05-09,64.17,0.83,0.0,0.83,55.65,9.35,0.0,9.35,ECMWF,20260501_00,18.7
2026-05-10,64.21,0.79,0.0,0.79,56.12,8.88,0.0,8.88,ECMWF,20260501_00,17.76
2026-05-11,65.37,0.0,0.37,0.37,57.89,7.11,0.0,7.11,ECMWF,20260501_00,14.22
2026-05-12,67.69,0.0,2.69,2.69,62.38,2.62,0.0,2.62,ECMWF,20260501_00,5.24
2026-05-13,68.59,0.0,3.59,3.59,64.94,0.06,0.0,0.06,ECMWF,20260501_00,0.12
2026-05-14,68.54,0.0,3.54,3.54,68.05,0.0,3.05,3.05,ECMWF,20260501_00,0.0
2026-05-15,69.2,0.0,4.2,4.2,68.93,0.0,3.93,3.93,ECMWF,20260501_00,0.0
2026-05-16,69.9,0.0,4.9,4.9,69.05,0.0,4.05,4.05,ECMWF,20260501_00,0.0
