date,model,run_id,mean_temp,tdd,tdd_gw
2026-03-12,GEFS_35D,20260224_00,41.44,23.56,23.56
2026-03-13,GEFS_35D,20260224_00,43.75,21.25,21.25
2026-03-14,GEFS_35D,20260224_00,41.74,23.26,23.26
2026-03-15,GEFS_35D,20260224_00,42.08,22.92,22.92
2026-03-16,GEFS_35D,20260224_00,43.0,22.0,22.0
2026-03-17,GEFS_35D,20260224_00,42.67,22.33,22.33
2026-03-18,GEFS_35D,20260224_00,41.66,23.34,23.34
2026-03-19,GEFS_35D,20260224_00,41.58,23.42,23.42
2026-03-20,GEFS_35D,20260224_00,41.68,23.32,23.32
2026-03-21,GEFS_35D,20260224_00,42.3,22.7,22.7
2026-03-22,GEFS_35D,20260224_00,43.06,21.94,21.94
2026-03-23,GEFS_35D,20260224_00,42.74,22.26,22.26
2026-03-24,GEFS_35D,20260224_00,43.44,21.56,21.56
2026-03-25,GEFS_35D,20260224_00,43.82,21.18,21.18
2026-03-26,GEFS_35D,20260224_00,44.8,20.2,20.2
2026-03-27,GEFS_35D,20260224_00,44.44,20.56,20.56
2026-03-28,GEFS_35D,20260224_00,44.87,20.13,20.13
2026-03-29,GEFS_35D,20260224_00,43.4,21.6,21.6
2026-03-30,GEFS_35D,20260224_00,43.09,21.91,21.91
2026-03-31,GEFS_35D,20260224_00,46.93,18.07,18.07
