date,model,run_id,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
2026-06-21,GEFS_35D,20260605_00,68.07,0.0,3.07,3.07,68.07,0.0,3.07,3.07
2026-06-22,GEFS_35D,20260605_00,72.34,0.0,7.34,7.34,72.34,0.0,7.34,7.34
2026-06-23,GEFS_35D,20260605_00,71.8,0.0,6.8,6.8,71.8,0.0,6.8,6.8
2026-06-24,GEFS_35D,20260605_00,71.76,0.0,6.76,6.76,71.76,0.0,6.76,6.76
2026-06-25,GEFS_35D,20260605_00,71.82,0.0,6.82,6.82,71.82,0.0,6.82,6.82
2026-06-26,GEFS_35D,20260605_00,72.16,0.0,7.16,7.16,72.16,0.0,7.16,7.16
2026-06-27,GEFS_35D,20260605_00,72.69,0.0,7.7,7.7,72.69,0.0,7.7,7.7
2026-06-28,GEFS_35D,20260605_00,73.28,0.0,8.28,8.28,73.28,0.0,8.28,8.28
2026-06-29,GEFS_35D,20260605_00,73.69,0.0,8.69,8.69,73.69,0.0,8.69,8.69
2026-06-30,GEFS_35D,20260605_00,74.3,0.0,9.3,9.3,74.3,0.0,9.3,9.3
2026-07-01,GEFS_35D,20260605_00,74.7,0.0,9.7,9.7,74.7,0.0,9.7,9.7
2026-07-02,GEFS_35D,20260605_00,75.02,0.0,10.02,10.02,75.02,0.0,10.02,10.02
2026-07-03,GEFS_35D,20260605_00,75.27,0.0,10.27,10.27,75.27,0.0,10.27,10.27
2026-07-04,GEFS_35D,20260605_00,75.41,0.0,10.42,10.42,75.41,0.0,10.42,10.42
2026-07-05,GEFS_35D,20260605_00,75.19,0.0,10.19,10.19,75.19,0.0,10.19,10.19
2026-07-06,GEFS_35D,20260605_00,75.4,0.0,10.4,10.4,75.4,0.0,10.4,10.4
2026-07-07,GEFS_35D,20260605_00,75.43,0.0,10.42,10.42,75.43,0.0,10.42,10.42
2026-07-08,GEFS_35D,20260605_00,75.03,0.0,10.02,10.02,75.03,0.0,10.02,10.02
2026-07-09,GEFS_35D,20260605_00,75.64,0.0,10.64,10.64,75.64,0.0,10.64,10.64
2026-07-10,GEFS_35D,20260605_00,80.91,0.0,15.91,15.91,80.91,0.0,15.91,15.91
