date,mean_temp,tdd,model,run_id
2026-02-18,37.58,27.42,GFS,20260218_00
2026-02-19,37.48,27.52,GFS,20260218_00
2026-02-20,37.61,27.39,GFS,20260218_00
2026-02-21,38.02,26.98,GFS,20260218_00
2026-02-22,38.04,26.96,GFS,20260218_00
2026-02-23,37.6,27.4,GFS,20260218_00
2026-02-24,37.57,27.43,GFS,20260218_00
2026-02-25,37.71,27.29,GFS,20260218_00
2026-02-26,38.04,26.96,GFS,20260218_00
2026-02-27,37.83,27.17,GFS,20260218_00
2026-02-28,37.48,27.52,GFS,20260218_00
2026-03-01,37.71,27.29,GFS,20260218_00
2026-03-02,37.64,27.36,GFS,20260218_00
2026-03-03,37.94,27.06,GFS,20260218_00
2026-03-04,37.84,27.16,GFS,20260218_00
2026-03-05,38.12,26.88,GFS,20260218_00
