date,mean_temp,tdd,mean_temp_gw,tdd_gw,model,run_id
2026-02-24,45.9,19.1,45.9,19.1,GFS,20260224_18
2026-02-25,50.35,14.65,50.35,14.65,GFS,20260224_18
2026-02-26,51.94,13.06,51.94,13.06,GFS,20260224_18
2026-02-27,54.43,10.57,54.43,10.57,GFS,20260224_18
2026-02-28,52.43,12.57,52.43,12.57,GFS,20260224_18
2026-03-01,49.23,15.77,49.23,15.77,GFS,20260224_18
2026-03-02,49.52,15.48,49.52,15.48,GFS,20260224_18
2026-03-03,51.13,13.87,51.13,13.87,GFS,20260224_18
2026-03-04,53.43,11.57,53.43,11.57,GFS,20260224_18
2026-03-05,52.77,12.23,52.77,12.23,GFS,20260224_18
2026-03-06,54.04,10.96,54.04,10.96,GFS,20260224_18
2026-03-07,54.42,10.58,54.42,10.58,GFS,20260224_18
2026-03-08,54.76,10.24,54.76,10.24,GFS,20260224_18
2026-03-09,55.25,9.75,55.25,9.75,GFS,20260224_18
2026-03-10,53.35,11.65,53.35,11.65,GFS,20260224_18
2026-03-11,52.58,12.42,52.58,12.42,GFS,20260224_18
