date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-02-26,45.58,19.42,0.0,19.42,34.1,30.9,0.0,30.9,GFS,20260226_06
2026-02-27,46.87,18.13,0.0,18.13,34.98,30.02,0.0,30.02,GFS,20260226_06
2026-02-28,47.43,17.57,0.0,17.57,38.96,26.04,0.0,26.04,GFS,20260226_06
2026-03-01,43.38,21.62,0.0,21.62,34.12,30.88,0.0,30.88,GFS,20260226_06
2026-03-02,41.63,23.37,0.0,23.37,28.23,36.77,0.0,36.77,GFS,20260226_06
2026-03-03,43.21,21.79,0.0,21.79,29.96,35.04,0.0,35.04,GFS,20260226_06
2026-03-04,47.89,17.11,0.0,17.11,38.16,26.84,0.0,26.84,GFS,20260226_06
2026-03-05,48.46,16.54,0.0,16.54,41.63,23.37,0.0,23.37,GFS,20260226_06
2026-03-06,47.64,17.36,0.0,17.36,42.4,22.6,0.0,22.6,GFS,20260226_06
2026-03-07,49.95,15.05,0.0,15.05,47.52,17.48,0.0,17.48,GFS,20260226_06
2026-03-08,50.53,14.47,0.0,14.47,49.11,15.89,0.0,15.89,GFS,20260226_06
2026-03-09,51.53,13.47,0.0,13.47,51.96,13.04,0.0,13.04,GFS,20260226_06
2026-03-10,52.37,12.63,0.0,12.63,56.79,8.21,0.0,8.21,GFS,20260226_06
2026-03-11,51.14,13.86,0.0,13.86,55.63,9.37,0.0,9.37,GFS,20260226_06
2026-03-12,47.72,17.28,0.0,17.28,51.16,13.84,0.0,13.84,GFS,20260226_06
2026-03-13,45.64,19.36,0.0,19.36,45.58,19.42,0.0,19.42,GFS,20260226_06
2026-03-14,44.1,20.9,0.0,20.9,36.82,28.18,0.0,28.18,GFS,20260226_06
