date,mean_temp,hdd,cdd,tdd,model,run_id,adjusted_hdd_signal
2026-03-14,45.2,19.8,0.0,19.8,GFS,20260314_12,39.6
2026-03-15,44.45,20.55,0.0,20.55,GFS,20260314_12,41.1
2026-03-16,42.0,23.0,0.0,23.0,GFS,20260314_12,46.0
2026-03-17,39.1,25.9,0.0,25.9,GFS,20260314_12,51.8
2026-03-18,42.49,22.51,0.0,22.51,GFS,20260314_12,45.02
2026-03-19,48.64,16.36,0.0,16.36,GFS,20260314_12,32.72
2026-03-20,51.99,13.01,0.0,13.01,GFS,20260314_12,26.02
2026-03-21,52.08,12.92,0.0,12.92,GFS,20260314_12,25.84
2026-03-22,51.04,13.96,0.0,13.96,GFS,20260314_12,27.92
2026-03-23,48.05,16.95,0.0,16.95,GFS,20260314_12,33.9
2026-03-24,45.21,19.79,0.0,19.79,GFS,20260314_12,39.58
2026-03-25,44.31,20.69,0.0,20.69,GFS,20260314_12,41.38
2026-03-26,43.71,21.29,0.0,21.29,GFS,20260314_12,42.58
2026-03-27,42.73,22.27,0.0,22.27,GFS,20260314_12,44.54
2026-03-28,42.47,22.53,0.0,22.53,GFS,20260314_12,45.06
2026-03-29,44.76,20.24,0.0,20.24,GFS,20260314_12,40.48
2026-03-30,47.28,17.72,0.0,17.72,GFS,20260314_12,35.44
