date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id
2026-09-06,71.37,0.0,6.37,6.37,71.37,0.0,6.37,6.37,GOOGLE_WN3,20260906_12
2026-09-07,71.81,0.0,6.81,6.81,71.81,0.0,6.81,6.81,GOOGLE_WN3,20260906_12
2026-09-08,72.51,0.0,7.51,7.51,72.51,0.0,7.51,7.51,GOOGLE_WN3,20260906_12
2026-09-09,72.95,0.0,7.95,7.95,72.95,0.0,7.95,7.95,GOOGLE_WN3,20260906_12
2026-09-10,73.32,0.0,8.32,8.32,73.32,0.0,8.32,8.32,GOOGLE_WN3,20260906_12
2026-09-11,73.28,0.0,8.28,8.28,73.28,0.0,8.28,8.28,GOOGLE_WN3,20260906_12
2026-09-12,73.18,0.0,8.18,8.18,73.18,0.0,8.18,8.18,GOOGLE_WN3,20260906_12
2026-09-13,72.86,0.0,7.86,7.86,72.86,0.0,7.86,7.86,GOOGLE_WN3,20260906_12
2026-09-14,72.51,0.0,7.51,7.51,72.51,0.0,7.51,7.51,GOOGLE_WN3,20260906_12
2026-09-15,71.76,0.0,6.76,6.76,71.76,0.0,6.76,6.76,GOOGLE_WN3,20260906_12
2026-09-16,70.73,0.0,5.73,5.73,70.73,0.0,5.73,5.73,GOOGLE_WN3,20260906_12
2026-09-17,69.93,0.0,4.93,4.93,69.93,0.0,4.93,4.93,GOOGLE_WN3,20260906_12
2026-09-18,69.76,0.0,4.76,4.76,69.76,0.0,4.76,4.76,GOOGLE_WN3,20260906_12
2026-09-19,69.45,0.0,4.45,4.45,69.45,0.0,4.45,4.45,GOOGLE_WN3,20260906_12
2026-09-20,69.69,0.0,4.69,4.69,69.69,0.0,4.69,4.69,GOOGLE_WN3,20260906_12
