month,day,mean_temp_gw,hdd_10yr,cdd_10yr
1,1,33.67981627296588,31.32,0.0
1,2,33.05291338582676,31.95,0.0
1,3,33.418005249343835,31.58,0.0
1,4,31.35459317585302,33.65,0.0
1,5,28.72259842519685,36.28,0.0
1,6,28.00023622047244,37.0,0.0
1,7,27.851233595800522,37.15,0.0
1,8,29.269081364829397,35.73,0.0
1,9,30.823910761154856,34.18,0.0
1,10,32.3261154855643,32.67,0.0
1,11,33.18385826771653,31.82,0.0
1,12,34.474986876640415,30.53,0.0
1,13,30.636220472440943,34.36,0.0
1,14,27.788293963254592,37.21,0.0
1,15,27.764829396325457,37.24,0.0
1,16,28.96157480314961,36.04,0.0
1,17,29.29488188976378,35.71,0.0
1,18,29.8861154855643,35.11,0.0
1,19,28.763674540682416,36.24,0.0
1,20,25.946351706036744,39.05,0.0
1,21,25.45782152230971,39.54,0.0
1,22,28.62566929133858,36.37,0.0
1,23,30.83322834645669,34.17,0.0
1,24,30.869658792650917,34.13,0.0
1,25,31.45002624671916,33.55,0.0
1,26,31.963648293963253,33.04,0.0
1,27,31.935826771653545,33.06,0.0
1,28,31.644698162729657,33.36,0.0
1,29,29.224146981627296,35.78,0.0
1,30,27.057559055118112,37.94,0.0
1,31,29.323123359580052,35.68,0.0
2,1,31.2540157480315,33.75,0.0
2,2,31.380813648293962,33.62,0.0
2,3,32.41984251968504,32.58,0.0
2,4,32.47564304461942,32.52,0.0
2,5,30.638897637795274,34.36,0.0
2,6,31.44614173228346,33.55,0.0
2,7,33.21335958005249,31.79,0.0
2,8,30.915275590551182,34.08,0.0
2,9,30.729606299212595,34.27,0.0
2,10,31.479133858267716,33.52,0.0
2,11,32.50099737532808,32.5,0.0
2,12,31.072362204724406,33.93,0.0
2,13,28.335223097112856,36.66,0.0
2,14,28.11692913385827,36.88,0.0
2,15,32.80569553805775,32.19,0.0
2,16,34.49094488188976,30.51,0.0
2,17,30.921574803149603,34.08,0.0
2,18,31.074724409448816,33.93,0.0
2,19,32.38543307086614,32.61,0.0
2,20,35.22230971128609,29.78,0.0
2,21,36.25490813648294,28.75,0.0
2,22,37.910052493438315,27.09,0.0
2,23,39.82923884514436,25.17,0.0
2,24,39.09606299212598,25.9,0.0
2,25,36.76619422572178,28.23,0.0
2,26,35.78942257217848,29.21,0.0
2,27,39.14120734908137,25.86,0.0
2,28,39.97409448818898,25.03,0.0
2,29,34.95345581802275,30.05,0.0
3,1,38.98055118110236,26.02,0.0
3,2,36.66582677165354,28.33,0.0
3,3,37.03139107611548,27.97,0.0
3,4,36.654934383202104,28.35,0.0
3,5,37.343490813648295,27.66,0.0
3,6,38.784881889763774,26.22,0.0
3,7,39.33173228346456,25.67,0.0
3,8,40.15611548556431,24.84,0.0
3,9,42.54517060367454,22.45,0.0
3,10,41.91913385826771,23.08,0.0
3,11,40.57496062992126,24.43,0.0
3,12,39.75595800524934,25.24,0.0
3,13,40.6159842519685,24.38,0.0
3,14,41.99608923884514,23.0,0.0
3,15,41.56278215223097,23.44,0.0
3,16,41.70805774278215,23.29,0.0
3,17,41.90448818897638,23.1,0.0
3,18,40.93816272965879,24.06,0.0
3,19,40.70414698162729,24.3,0.0
3,20,41.48566929133858,23.51,0.0
3,21,41.429186351706036,23.57,0.0
3,22,41.37469816272966,23.63,0.0
3,23,42.454330708661416,22.55,0.0
3,24,44.49141732283464,20.51,0.0
3,25,44.84370078740157,20.16,0.0
3,26,43.91136482939633,21.09,0.0
3,27,44.59081364829396,20.41,0.0
3,28,45.29958005249343,19.7,0.0
3,29,45.99057742782152,19.01,0.0
3,30,47.02635170603675,17.97,0.0
3,31,47.4869028871391,17.51,0.0
4,1,44.26299212598425,20.74,0.0
4,2,43.167007874015745,21.83,0.0
4,3,46.234383202099735,18.77,0.0
4,4,47.11614173228346,17.88,0.0
4,5,46.36283464566929,18.64,0.0
4,6,47.966929133858265,17.03,0.0
4,7,47.66931758530183,17.33,0.0
4,8,47.45251968503937,17.55,0.0
4,9,47.106430446194224,17.89,0.0
4,10,47.981942257217845,17.02,0.0
4,11,50.643412073490815,14.36,0.0
4,12,52.88748031496063,12.11,0.0
4,13,54.050761154855635,10.95,0.0
4,14,53.19524934383202,11.8,0.0
4,15,51.46249343832021,13.54,0.0
4,16,50.82687664041995,14.17,0.0
4,17,49.55173228346457,15.45,0.0
4,18,51.14196850393701,13.86,0.0
4,19,51.41606299212599,13.58,0.0
4,20,51.53813648293963,13.46,0.0
4,21,51.28795275590551,13.71,0.0
4,22,51.517007874015746,13.48,0.0
4,23,53.42821522309712,11.57,0.0
4,24,53.591758530183725,11.41,0.0
4,25,52.95293963254593,12.05,0.0
4,26,52.76939632545932,12.23,0.0
4,27,52.848582677165346,12.15,0.0
4,28,54.48968503937008,10.51,0.0
4,29,55.455406824146976,9.54,0.0
4,30,54.667007874015745,10.33,0.0
5,1,56.75036745406824,8.25,0.0
5,2,59.09089238845145,5.91,0.0
5,3,57.40748031496063,7.59,0.0
5,4,56.181469816272966,8.82,0.0
5,5,55.213307086614165,9.79,0.0
5,6,56.381574803149604,8.62,0.0
5,7,56.64813648293963,8.35,0.0
5,8,55.92766404199475,9.07,0.0
5,9,55.46317585301837,9.54,0.0
5,10,56.75425196850394,8.25,0.0
5,11,57.2646719160105,7.74,0.0
5,12,58.09120734908136,6.91,0.0
5,13,59.03451443569554,5.97,0.0
5,14,60.08320209973753,4.92,0.0
5,15,61.87225721784777,3.13,0.0
5,16,63.16146981627296,1.84,0.0
5,17,62.26944881889764,2.73,0.0
5,18,62.316430446194225,2.68,0.0
5,19,62.625275590551176,2.37,0.0
5,20,62.420918635170594,2.58,0.0
5,21,62.79711286089239,2.2,0.0
5,22,63.6958530183727,1.3,0.0
5,23,64.37960629921261,0.62,0.0
5,24,64.04007874015748,0.96,0.0
5,25,65.58755905511809,0.0,0.59
5,26,67.23643044619422,0.0,2.24
5,27,66.4410498687664,0.0,1.44
5,28,65.84979002624672,0.0,0.85
5,29,65.5433595800525,0.0,0.54
5,30,65.67968503937007,0.0,0.68
5,31,66.75083989501312,0.0,1.75
6,1,66.70110236220472,0.0,1.7
6,2,67.7010498687664,0.0,2.7
6,3,67.99530183727033,0.0,3.0
6,4,68.89343832020998,0.0,3.89
6,5,69.31818897637795,0.0,4.32
6,6,69.27881889763779,0.0,4.28
6,7,67.9054593175853,0.0,2.91
6,8,67.84826771653543,0.0,2.85
6,9,68.62685039370078,0.0,3.63
6,10,69.30908136482938,0.0,4.31
6,11,70.13490813648293,0.0,5.13
6,12,70.30632545931758,0.0,5.31
6,13,69.81582677165355,0.0,4.82
6,14,69.64669291338582,0.0,4.65
6,15,70.2550656167979,0.0,5.26
6,16,70.72761154855644,0.0,5.73
6,17,72.62774278215223,0.0,7.63
6,18,73.18818897637796,0.0,8.19
6,19,72.97136482939632,0.0,7.97
6,20,73.19734908136482,0.0,8.2
6,21,73.63797900262466,0.0,8.64
6,22,73.16356955380579,0.0,8.16
6,23,73.33758530183727,0.0,8.34
6,24,73.9534908136483,0.0,8.95
6,25,74.09792650918635,0.0,9.1
6,26,74.20351706036745,0.0,9.2
6,27,72.92412073490814,0.0,7.92
6,28,73.39010498687665,0.0,8.39
6,29,75.79370078740158,0.0,10.79
6,30,76.1817060367454,0.0,11.18
7,1,74.69553805774278,0.0,9.7
7,2,74.61351706036746,0.0,9.61
7,3,75.33325459317585,0.0,10.33
7,4,76.03073490813648,0.0,11.03
7,5,77.6379527559055,0.0,12.64
7,6,77.09498687664042,0.0,12.09
7,7,75.37860892388451,0.0,10.38
7,8,74.83587926509186,0.0,9.84
7,9,74.67514435695537,0.0,9.68
7,10,75.0090813648294,0.0,10.01
7,11,75.56317585301836,0.0,10.56
7,12,76.21094488188976,0.0,11.21
7,13,76.36737532808398,0.0,11.37
7,14,76.47916010498687,0.0,11.48
7,15,76.81929133858269,0.0,11.82
7,16,76.37740157480314,0.0,11.38
7,17,76.13469816272966,0.0,11.13
7,18,76.04104986876641,0.0,11.04
7,19,76.87892388451442,0.0,11.88
7,20,77.77320209973752,0.0,12.77
7,21,76.63047244094489,0.0,11.63
7,22,75.93060367454068,0.0,10.93
7,23,76.01461942257217,0.0,11.01
7,24,76.14758530183727,0.0,11.15
7,25,76.02729658792651,0.0,11.03
7,26,76.64758530183727,0.0,11.65
7,27,77.1127034120735,0.0,12.11
7,28,77.42800524934383,0.0,12.43
7,29,76.29698162729659,0.0,11.3
7,30,75.12194225721785,0.0,10.12
7,31,74.1162467191601,0.0,9.12
8,1,74.21128608923884,0.0,9.21
8,2,74.40477690288714,0.0,9.4
8,3,74.68734908136483,0.0,9.69
8,4,74.64719160104985,0.0,9.65
8,5,75.26246719160105,0.0,10.26
8,6,74.98270341207349,0.0,9.98
8,7,74.53498687664042,0.0,9.53
8,8,75.0702624671916,0.0,10.07
8,9,75.59349081364829,0.0,10.59
8,10,75.4821784776903,0.0,10.48
8,11,75.75514435695538,0.0,10.76
8,12,75.66509186351706,0.0,10.67
8,13,74.92204724409449,0.0,9.92
8,14,74.75944881889764,0.0,9.76
8,15,74.09774278215222,0.0,9.1
8,16,74.27102362204724,0.0,9.27
8,17,74.47811023622047,0.0,9.48
8,18,73.98065616797899,0.0,8.98
8,19,73.7065091863517,0.0,8.71
8,20,73.40364829396324,0.0,8.4
8,21,73.17391076115486,0.0,8.17
8,22,72.74230971128608,0.0,7.74
8,23,72.72225721784777,0.0,7.72
8,24,73.31682414698162,0.0,8.32
8,25,73.76755905511811,0.0,8.77
8,26,73.63272965879264,0.0,8.63
8,27,73.9875065616798,0.0,8.99
8,28,73.99459317585301,0.0,8.99
8,29,73.40524934383203,0.0,8.41
8,30,72.04994750656167,0.0,7.05
8,31,71.23682414698163,0.0,6.24
9,1,70.18997375328084,0.0,5.19
9,2,70.3348031496063,0.0,5.33
9,3,71.21703412073491,0.0,6.22
9,4,71.78787401574803,0.0,6.79
9,5,71.64839895013122,0.0,6.65
9,6,70.49430446194225,0.0,5.49
9,7,68.80955380577429,0.0,3.81
9,8,67.72464566929133,0.0,2.72
9,9,67.61653543307087,0.0,2.62
9,10,68.57808398950132,0.0,3.58
9,11,69.31097112860893,0.0,4.31
9,12,69.48488188976378,0.0,4.48
9,13,69.71422572178477,0.0,4.71
9,14,70.12456692913386,0.0,5.12
9,15,69.43482939632545,0.0,4.43
9,16,69.43511811023622,0.0,4.44
9,17,69.61406824146982,0.0,4.61
9,18,69.21498687664041,0.0,4.21
9,19,68.61771653543306,0.0,3.62
9,20,69.18498687664042,0.0,4.18
9,21,69.54217847769029,0.0,4.54
9,22,67.74330708661418,0.0,2.74
9,23,66.67425196850394,0.0,1.67
9,24,66.47629921259843,0.0,1.48
9,25,66.61278215223096,0.0,1.61
9,26,66.6463779527559,0.0,1.65
9,27,65.92984251968504,0.0,0.93
9,28,64.461312335958,0.54,0.0
9,29,63.015144356955375,1.98,0.0
9,30,63.213858267716525,1.79,0.0
10,1,63.3994750656168,1.6,0.0
10,2,63.31186351706036,1.69,0.0
10,3,63.54383202099738,1.46,0.0
10,4,63.32225721784776,1.68,0.0
10,5,62.92259842519685,2.08,0.0
10,6,64.07910761154855,0.92,0.0
10,7,63.302467191601046,1.7,0.0
10,8,60.393963254593174,4.61,0.0
10,9,60.027375328083984,4.97,0.0
10,10,60.6551968503937,4.34,0.0
10,11,60.135774278215216,4.86,0.0
10,12,58.6358530183727,6.36,0.0
10,13,57.21580052493438,7.78,0.0
