month,day,mean_temp_f,hdd_normal,cdd_normal,mean_temp_f_10yr,hdd_normal_10yr,cdd_normal_10yr
1,1,32.2,32.8,0.0,35.1,29.9,0.0
1,2,32.2,32.8,0.0,34.1,30.9,0.0
1,3,32.4,32.6,0.0,34.9,30.1,0.0
1,4,32.5,32.5,0.0,32.9,32.1,0.0
1,5,31.1,33.9,0.0,30.3,34.7,0.0
1,6,30.9,34.1,0.0,29.4,35.6,0.0
1,7,30.0,35.0,0.0,29.2,35.8,0.0
1,8,30.4,34.6,0.0,30.8,34.2,0.0
1,9,31.5,33.5,0.0,32.2,32.8,0.0
1,10,31.1,33.9,0.0,33.3,31.7,0.0
1,11,32.7,32.3,0.0,34.3,30.7,0.0
1,12,34.5,30.5,0.0,35.5,29.5,0.0
1,13,32.7,32.3,0.0,31.9,33.1,0.0
1,14,30.3,34.7,0.0,29.4,35.6,0.0
1,15,29.5,35.5,0.0,29.3,35.7,0.0
1,16,29.4,35.6,0.0,29.9,35.1,0.0
1,17,29.3,35.7,0.0,30.4,34.6,0.0
1,18,28.9,36.1,0.0,31.3,33.7,0.0
1,19,28.0,37.0,0.0,30.5,34.5,0.0
1,20,28.6,36.4,0.0,27.5,37.5,0.0
1,21,27.7,37.3,0.0,26.8,38.2,0.0
1,22,29.0,36.0,0.0,29.6,35.4,0.0
1,23,30.6,34.4,0.0,32.1,32.9,0.0
1,24,30.2,34.8,0.0,32.3,32.7,0.0
1,25,29.2,35.8,0.0,33.0,32.0,0.0
1,26,29.2,35.8,0.0,33.8,31.2,0.0
1,27,30.4,34.6,0.0,33.2,31.8,0.0
1,28,30.7,34.3,0.0,33.3,31.7,0.0
1,29,30.6,34.4,0.0,31.5,33.5,0.0
1,30,29.6,35.4,0.0,29.4,35.6,0.0
1,31,29.7,35.3,0.0,31.6,33.4,0.0
2,1,31.5,33.5,0.0,33.8,31.2,0.0
2,2,31.2,33.8,0.0,33.6,31.4,0.0
2,3,31.5,33.5,0.0,34.5,30.5,0.0
2,4,31.5,33.5,0.0,34.6,30.4,0.0
2,5,30.3,34.7,0.0,32.7,32.3,0.0
2,6,30.9,34.1,0.0,33.4,31.6,0.0
2,7,32.2,32.8,0.0,35.3,29.7,0.0
2,8,31.3,33.7,0.0,33.4,31.6,0.0
2,9,30.9,34.1,0.0,33.0,32.0,0.0
2,10,31.5,33.5,0.0,33.0,32.0,0.0
2,11,31.3,33.7,0.0,34.4,30.6,0.0
2,12,30.5,34.5,0.0,33.5,31.5,0.0
2,13,30.1,34.9,0.0,30.7,34.3,0.0
2,14,32.2,32.8,0.0,30.0,35.0,0.0
2,15,32.4,32.6,0.0,34.4,30.6,0.0
2,16,32.1,32.9,0.0,36.1,28.9,0.0
2,17,32.5,32.5,0.0,32.8,32.2,0.0
