date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-09-18,72.45,0.0,7.45,7.45,72.45,0.0,7.45,7.45,AIFS_ENS,20260918_00,
2026-09-19,67.73,0.0,2.73,2.73,67.73,0.0,2.73,2.73,AIFS_ENS,20260918_00,
2026-09-20,68.14,0.0,3.14,3.14,68.14,0.0,3.14,3.14,AIFS_ENS,20260918_00,
2026-09-21,65.96,0.0,0.96,0.96,65.96,0.0,0.96,0.96,AIFS_ENS,20260918_00,
2026-09-22,62.62,2.38,0.0,2.38,62.62,2.38,0.0,2.38,AIFS_ENS,20260918_00,
2026-09-23,61.31,3.69,0.0,3.69,61.31,3.69,0.0,3.69,AIFS_ENS,20260918_00,
2026-09-24,61.44,3.56,0.0,3.56,61.44,3.56,0.0,3.56,AIFS_ENS,20260918_00,
2026-09-25,61.4,3.6,0.0,3.6,61.4,3.6,0.0,3.6,AIFS_ENS,20260918_00,
2026-09-26,62.14,2.86,0.0,2.86,62.14,2.86,0.0,2.86,AIFS_ENS,20260918_00,
2026-09-27,62.5,2.5,0.0,2.5,62.5,2.5,0.0,2.5,AIFS_ENS,20260918_00,
2026-09-28,62.49,2.51,0.0,2.51,62.49,2.51,0.0,2.51,AIFS_ENS,20260918_00,
2026-09-29,63.44,1.56,0.0,1.56,63.44,1.56,0.0,1.56,AIFS_ENS,20260918_00,
2026-09-30,65.37,0.0,0.37,0.37,65.37,0.0,0.37,0.37,AIFS_ENS,20260918_00,
2026-10-01,66.14,0.0,1.14,1.14,66.14,0.0,1.14,1.14,AIFS_ENS,20260918_00,
2026-10-02,60.53,4.47,0.0,4.47,60.53,4.47,0.0,4.47,AIFS_ENS,20260918_00,
