date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-09-14,67.68,0.0,2.68,2.68,67.68,0.0,2.68,2.68,AIGEFS,20260914_18,
2026-09-15,65.76,0.0,0.76,0.76,65.76,0.0,0.76,0.76,AIGEFS,20260914_18,
2026-09-16,67.34,0.0,2.34,2.34,67.34,0.0,2.34,2.34,AIGEFS,20260914_18,
2026-09-17,68.65,0.0,3.65,3.65,68.65,0.0,3.65,3.65,AIGEFS,20260914_18,
2026-09-18,68.8,0.0,3.8,3.8,68.8,0.0,3.8,3.8,AIGEFS,20260914_18,
2026-09-19,63.89,1.11,0.0,1.11,63.89,1.11,0.0,1.11,AIGEFS,20260914_18,
2026-09-20,64.53,0.47,0.0,0.47,64.53,0.47,0.0,0.47,AIGEFS,20260914_18,
2026-09-21,63.82,1.18,0.0,1.18,63.82,1.18,0.0,1.18,AIGEFS,20260914_18,
2026-09-22,64.51,0.49,0.0,0.49,64.51,0.49,0.0,0.49,AIGEFS,20260914_18,
2026-09-23,66.92,0.0,1.92,1.92,66.92,0.0,1.92,1.92,AIGEFS,20260914_18,
2026-09-24,67.98,0.0,2.98,2.98,67.98,0.0,2.98,2.98,AIGEFS,20260914_18,
2026-09-25,66.36,0.0,1.36,1.36,66.36,0.0,1.36,1.36,AIGEFS,20260914_18,
2026-09-26,67.51,0.0,2.51,2.51,67.51,0.0,2.51,2.51,AIGEFS,20260914_18,
2026-09-27,66.53,0.0,1.53,1.53,66.53,0.0,1.53,1.53,AIGEFS,20260914_18,
2026-09-28,64.96,0.04,0.0,0.04,64.96,0.04,0.0,0.04,AIGEFS,20260914_18,
2026-09-29,63.84,1.16,0.0,1.16,63.84,1.16,0.0,1.16,AIGEFS,20260914_18,
