date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-07-30,72.26,0.0,7.26,7.26,72.26,0.0,7.26,7.26,AIGFS,20260729_00,
2026-07-31,73.24,0.0,8.24,8.24,73.24,0.0,8.24,8.24,AIGFS,20260729_00,
2026-08-01,73.18,0.0,8.18,8.18,73.18,0.0,8.18,8.18,AIGFS,20260729_00,
2026-08-02,72.82,0.0,7.82,7.82,72.82,0.0,7.82,7.82,AIGFS,20260729_00,
2026-08-03,73.17,0.0,8.17,8.17,73.17,0.0,8.17,8.17,AIGFS,20260729_00,
2026-08-04,73.07,0.0,8.07,8.07,73.07,0.0,8.07,8.07,AIGFS,20260729_00,
2026-08-05,74.42,0.0,9.42,9.42,74.42,0.0,9.42,9.42,AIGFS,20260729_00,
2026-08-06,75.68,0.0,10.68,10.68,75.68,0.0,10.68,10.68,AIGFS,20260729_00,
2026-08-07,76.02,0.0,11.02,11.02,76.02,0.0,11.02,11.02,AIGFS,20260729_00,
2026-08-08,75.59,0.0,10.59,10.59,75.59,0.0,10.59,10.59,AIGFS,20260729_00,
2026-08-09,74.6,0.0,9.6,9.6,74.6,0.0,9.6,9.6,AIGFS,20260729_00,
2026-08-10,72.63,0.0,7.63,7.63,72.63,0.0,7.63,7.63,AIGFS,20260729_00,
2026-08-11,71.28,0.0,6.28,6.28,71.28,0.0,6.28,6.28,AIGFS,20260729_00,
2026-08-12,72.05,0.0,7.05,7.05,72.05,0.0,7.05,7.05,AIGFS,20260729_00,
2026-08-13,73.59,0.0,8.59,8.59,73.59,0.0,8.59,8.59,AIGFS,20260729_00,
