date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-04-05,50.28,,,14.72,,,,14.72,CMC_ENS,20260405_12,
2026-04-06,45.7,,,19.3,,,,19.3,CMC_ENS,20260405_12,
2026-04-07,41.34,,,23.66,,,,23.66,CMC_ENS,20260405_12,
2026-04-08,41.08,,,23.92,,,,23.92,CMC_ENS,20260405_12,
2026-04-09,49.97,,,15.03,,,,15.03,CMC_ENS,20260405_12,
2026-04-10,53.82,,,11.18,,,,11.18,CMC_ENS,20260405_12,
2026-04-11,54.63,,,10.37,,,,10.37,CMC_ENS,20260405_12,
2026-04-12,55.8,,,9.2,,,,9.2,CMC_ENS,20260405_12,
2026-04-13,61.58,,,3.42,,,,3.42,CMC_ENS,20260405_12,
2026-04-14,64.66,,,0.34,,,,0.34,CMC_ENS,20260405_12,
2026-04-15,62.48,,,2.52,,,,2.52,CMC_ENS,20260405_12,
2026-04-16,61.6,,,3.4,,,,3.4,CMC_ENS,20260405_12,
2026-04-17,60.87,,,4.13,,,,4.13,CMC_ENS,20260405_12,
2026-04-18,55.46,,,9.54,,,,9.54,CMC_ENS,20260405_12,
2026-04-19,48.08,,,16.92,,,,16.92,CMC_ENS,20260405_12,
2026-04-20,49.86,,,15.14,,,,15.14,CMC_ENS,20260405_12,
