date,master_tdd,disagreement_spread,power_burn_proxy,composite_score,market_bias,15d_pct_deviation
20260225,0.0,,0.7,-1.0,STRONG BEAR,-100.0
20260226,0.0,,1.9,-1.0,STRONG BEAR,-100.0
20260227,0.0,,2.6,-1.0,STRONG BEAR,-100.0
20260228,0.0,,3.2,-1.0,STRONG BEAR,-100.0
20260301,0.0,,3.2,-1.0,STRONG BEAR,-100.0
20260302,0.0,,1.6,-1.0,STRONG BEAR,-100.0
20260303,0.0,,1.6,-1.0,STRONG BEAR,-100.0
20260304,0.0,,2.3,-1.0,STRONG BEAR,-100.0
20260305,0.0,,3.4,-1.0,STRONG BEAR,-100.0
20260306,0.0,,3.9,-1.0,STRONG BEAR,-100.0
20260307,0.0,,4.0,-1.0,STRONG BEAR,-100.0
20260308,0.0,,2.2,-1.0,STRONG BEAR,-100.0
20260309,0.0,,1.8,-0.87,STRONG BEAR,-100.0
20260310,0.0,,2.3,-1.0,STRONG BEAR,-100.0
20260311,0.0,,2.4,-1.0,STRONG BEAR,-100.0
20260312,0.0,,4.9,-1.0,STRONG BEAR,-100.0
20260329,18.6,0.8,0.0,0.0,NEUTRAL,-100.0
20260330,13.5,0.0,0.0,-0.27,BEARISH,-100.0
20260331,13.1,0.3,0.0,-0.25,BEARISH,-100.0
20260401,14.8,0.5,0.0,0.55,STRONG BULL,-100.0
20260402,15.9,0.7,0.0,0.62,STRONG BULL,-100.0
20260403,15.4,0.6,0.0,0.64,STRONG BULL,-100.0
20260404,16.3,0.8,0.0,0.68,STRONG BULL,-100.0
20260405,17.2,1.7,0.0,0.53,STRONG BULL,-100.0
20260406,18.1,0.6,0.0,0.9,STRONG BULL,-100.0
20260407,17.6,0.2,0.0,1.0,STRONG BULL,-100.0
20260408,16.1,0.5,0.0,0.8,STRONG BULL,-100.0
20260409,14.9,0.2,0.0,0.69,STRONG BULL,-100.0
20260410,14.2,1.2,0.0,0.49,BULLISH,-100.0
20260411,14.0,0.2,0.0,0.67,STRONG BULL,-100.0
20260412,14.8,1.9,0.0,0.52,STRONG BULL,-100.0
20260413,15.2,4.9,0.0,0.18,BULLISH,-100.0
20260414,16.9,,0.0,1.0,STRONG BULL,-100.0
