date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-09-05,75.37,0.0,10.37,10.37,75.37,0.0,10.37,10.37,EC46,20260905_00,
2026-09-06,72.04,0.0,7.04,7.04,72.04,0.0,7.04,7.04,EC46,20260905_00,
2026-09-07,70.91,0.0,5.91,5.91,70.91,0.0,5.91,5.91,EC46,20260905_00,
2026-09-08,72.79,0.0,7.79,7.79,72.79,0.0,7.79,7.79,EC46,20260905_00,
2026-09-09,76.27,0.0,11.27,11.27,76.27,0.0,11.27,11.27,EC46,20260905_00,
2026-09-10,76.2,0.0,11.2,11.2,76.2,0.0,11.2,11.2,EC46,20260905_00,
2026-09-11,71.03,0.0,6.03,6.03,71.03,0.0,6.03,6.03,EC46,20260905_00,
2026-09-12,69.89,0.0,4.89,4.89,69.89,0.0,4.89,4.89,EC46,20260905_00,
2026-09-13,71.98,0.0,6.98,6.98,71.98,0.0,6.98,6.98,EC46,20260905_00,
2026-09-14,68.45,0.0,3.45,3.45,68.45,0.0,3.45,3.45,EC46,20260905_00,
2026-09-15,67.66,0.0,2.66,2.66,67.66,0.0,2.66,2.66,EC46,20260905_00,
2026-09-16,66.68,0.0,1.68,1.68,66.68,0.0,1.68,1.68,EC46,20260905_00,
2026-09-17,62.42,2.58,0.0,2.58,62.42,2.58,0.0,2.58,EC46,20260905_00,
2026-09-18,60.38,4.62,0.0,4.62,60.38,4.62,0.0,4.62,EC46,20260905_00,
2026-09-19,60.37,4.63,0.0,4.63,60.37,4.63,0.0,4.63,EC46,20260905_00,
2026-09-20,64.1,0.9,0.0,0.9,64.1,0.9,0.0,0.9,EC46,20260905_00,
2026-09-21,62.94,2.06,0.0,2.06,62.94,2.06,0.0,2.06,EC46,20260905_00,
2026-09-22,58.85,6.15,0.0,6.15,58.85,6.15,0.0,6.15,EC46,20260905_00,
2026-09-23,59.19,5.81,0.0,5.81,59.19,5.81,0.0,5.81,EC46,20260905_00,
2026-09-24,60.03,4.97,0.0,4.97,60.03,4.97,0.0,4.97,EC46,20260905_00,
2026-09-25,61.04,3.96,0.0,3.96,61.04,3.96,0.0,3.96,EC46,20260905_00,
2026-09-26,62.16,2.84,0.0,2.84,62.16,2.84,0.0,2.84,EC46,20260905_00,
2026-09-27,63.42,1.58,0.0,1.58,63.42,1.58,0.0,1.58,EC46,20260905_00,
2026-09-28,61.55,3.45,0.0,3.45,61.55,3.45,0.0,3.45,EC46,20260905_00,
2026-09-29,56.96,8.04,0.0,8.04,56.96,8.04,0.0,8.04,EC46,20260905_00,
2026-09-30,55.87,9.13,0.0,9.13,55.87,9.13,0.0,9.13,EC46,20260905_00,
2026-10-01,58.29,6.71,0.0,6.71,58.29,6.71,0.0,6.71,EC46,20260905_00,
2026-10-02,60.78,4.22,0.0,4.22,60.78,4.22,0.0,4.22,EC46,20260905_00,
2026-10-03,62.34,2.66,0.0,2.66,62.34,2.66,0.0,2.66,EC46,20260905_00,
2026-10-04,62.98,2.02,0.0,2.02,62.98,2.02,0.0,2.02,EC46,20260905_00,
2026-10-05,63.8,1.2,0.0,1.2,63.8,1.2,0.0,1.2,EC46,20260905_00,
2026-10-06,64.96,0.04,0.0,0.04,64.96,0.04,0.0,0.04,EC46,20260905_00,
2026-10-07,64.81,0.19,0.0,0.19,64.81,0.19,0.0,0.19,EC46,20260905_00,
2026-10-08,62.95,2.05,0.0,2.05,62.95,2.05,0.0,2.05,EC46,20260905_00,
2026-10-09,61.4,3.6,0.0,3.6,61.4,3.6,0.0,3.6,EC46,20260905_00,
2026-10-10,62.66,2.34,0.0,2.34,62.66,2.34,0.0,2.34,EC46,20260905_00,
2026-10-11,63.52,1.48,0.0,1.48,63.52,1.48,0.0,1.48,EC46,20260905_00,
2026-10-12,62.56,2.44,0.0,2.44,62.56,2.44,0.0,2.44,EC46,20260905_00,
2026-10-13,59.54,5.46,0.0,5.46,59.54,5.46,0.0,5.46,EC46,20260905_00,
2026-10-14,56.43,8.57,0.0,8.57,56.43,8.57,0.0,8.57,EC46,20260905_00,
2026-10-15,56.63,8.37,0.0,8.37,56.63,8.37,0.0,8.37,EC46,20260905_00,
2026-10-16,59.72,5.28,0.0,5.28,59.72,5.28,0.0,5.28,EC46,20260905_00,
2026-10-17,61.65,3.35,0.0,3.35,61.65,3.35,0.0,3.35,EC46,20260905_00,
2026-10-18,60.83,4.17,0.0,4.17,60.83,4.17,0.0,4.17,EC46,20260905_00,
2026-10-19,60.85,4.15,0.0,4.15,60.85,4.15,0.0,4.15,EC46,20260905_00,
2026-10-20,59.88,5.12,0.0,5.12,59.88,5.12,0.0,5.12,EC46,20260905_00,
