date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-09-03,74.27,0.0,9.27,9.27,76.0,0.0,11.0,11.0,ECMWF_AIFS,20260903_00,0.0
2026-09-04,74.1125,0.0,9.1125,9.1125,76.315,0.0,11.315,11.315,ECMWF_AIFS,20260903_00,0.0
2026-09-05,73.97749999999999,0.0,8.9775,8.9775,74.91499999999999,0.0,9.915,9.915,ECMWF_AIFS,20260903_00,0.0
2026-09-06,73.155,0.0,8.155000000000001,8.155000000000001,71.9025,0.0075,6.91,6.9175,ECMWF_AIFS,20260903_00,0.0040725
2026-09-07,72.385,0.0,7.385,7.385,70.45,0.36,5.8100000000000005,6.17,ECMWF_AIFS,20260903_00,0.19548
2026-09-08,72.39750000000001,0.0,7.3975,7.3975,71.2425,0.215,6.4575,6.672499999999999,ECMWF_AIFS,20260903_00,0.116745
2026-09-09,73.4175,0.0,8.4175,8.4175,73.79249999999999,0.0,8.7925,8.7925,ECMWF_AIFS,20260903_00,0.0
2026-09-10,74.5225,0.0,9.5225,9.5225,75.83500000000001,0.0,10.835,10.835,ECMWF_AIFS,20260903_00,0.0
2026-09-11,72.8925,0.0,7.8925,7.8925,72.0525,0.01,7.0625,7.0725,ECMWF_AIFS,20260903_00,0.00543
2026-09-12,70.66499999999999,0.0,5.664999999999999,5.664999999999999,67.255,1.5625,3.8175,5.38,ECMWF_AIFS,20260903_00,0.8484375000000001
2026-09-13,69.9475,0.0075,4.955,4.9625,66.83500000000001,1.8875,3.7225,5.609999999999999,ECMWF_AIFS,20260903_00,1.0249125
2026-09-14,71.1325,0.0,6.1325,6.1325,70.7875,0.0,5.7875,5.7875,ECMWF_AIFS,20260903_00,0.0
2026-09-15,71.31,0.0,6.3100000000000005,6.3100000000000005,72.9025,0.0,7.9025,7.9025,ECMWF_AIFS,20260903_00,0.0
2026-09-16,71.125,0.0,6.125,6.125,73.1825,0.0,8.182500000000001,8.182500000000001,ECMWF_AIFS,20260903_00,0.0
2026-09-17,70.39500000000001,0.0,5.395,5.395,71.5775,0.0,6.577500000000001,6.577500000000001,ECMWF_AIFS,20260903_00,0.0
