date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-05-02,49.93,15.07,0.0,15.07,42.62,22.38,0.0,22.38,ECMWF,20260502_12,44.76
2026-05-03,51.13,13.87,0.0,13.87,44.06,20.94,0.0,20.94,ECMWF,20260502_12,41.88
2026-05-04,53.5,11.5,0.0,11.5,50.18,14.82,0.0,14.82,ECMWF,20260502_12,29.64
2026-05-05,53.71,11.29,0.0,11.29,52.75,12.25,0.0,12.25,ECMWF,20260502_12,24.5
2026-05-06,52.25,12.75,0.0,12.75,49.37,15.63,0.0,15.63,ECMWF,20260502_12,31.26
2026-05-07,52.27,12.73,0.0,12.73,45.0,20.0,0.0,20.0,ECMWF,20260502_12,40.0
2026-05-08,52.81,12.19,0.0,12.19,43.71,21.29,0.0,21.29,ECMWF,20260502_12,42.58
2026-05-09,53.88,11.12,0.0,11.12,46.59,18.41,0.0,18.41,ECMWF,20260502_12,36.82
2026-05-10,54.54,10.46,0.0,10.46,45.58,19.42,0.0,19.42,ECMWF,20260502_12,38.84
2026-05-11,55.3,9.7,0.0,9.7,48.6,16.4,0.0,16.4,ECMWF,20260502_12,32.8
2026-05-12,55.97,9.03,0.0,9.03,49.89,15.11,0.0,15.11,ECMWF,20260502_12,30.22
2026-05-13,57.15,7.85,0.0,7.85,50.21,14.79,0.0,14.79,ECMWF,20260502_12,29.58
2026-05-14,58.64,6.36,0.0,6.36,53.23,11.77,0.0,11.77,ECMWF,20260502_12,23.54
2026-05-15,59.4,5.6,0.0,5.6,58.04,6.96,0.0,6.96,ECMWF,20260502_12,13.92
2026-05-16,59.86,5.14,0.0,5.14,61.03,3.97,0.0,3.97,ECMWF,20260502_12,7.94
2026-05-17,60.23,4.77,0.0,4.77,61.63,3.37,0.0,3.37,ECMWF,20260502_12,6.74
