date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-06-16,67.375,1.6075,3.9825,5.59,67.375,1.6075,3.9825,5.59,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-17,67.91,1.0425,3.9525,4.995,67.91,1.0425,3.9525,4.995,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-18,69.435,0.0225,4.4575,4.48,69.435,0.0225,4.4575,4.48,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-19,68.62,0.73,4.35,5.08,68.62,0.73,4.35,5.08,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-20,69.1075,0.605,4.7125,5.3175,69.1075,0.605,4.7125,5.3175,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-21,69.845,0.26,5.105,5.365,69.845,0.26,5.105,5.365,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-22,71.005,0.0,6.005,6.005,71.005,0.0,6.005,6.005,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-23,71.83,0.0,6.83,6.83,71.83,0.0,6.83,6.83,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-24,71.3875,0.0,6.3875,6.3875,71.3875,0.0,6.3875,6.3875,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-25,69.255,0.26,4.515,4.775,69.255,0.26,4.515,4.775,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-26,67.5825,1.165,3.7475,4.9125,67.5825,1.165,3.7475,4.9125,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-27,67.97,1.25,4.22,5.47,67.97,1.25,4.22,5.47,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-28,70.59,0.005,5.595,5.6,70.59,0.005,5.595,5.6,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-29,73.13,0.0,8.13,8.13,73.13,0.0,8.13,8.13,FOURCASTNETV2-SMALL,20260615_12_AI,
2026-06-30,72.55,0.0,7.55,7.55,72.55,0.0,7.55,7.55,FOURCASTNETV2-SMALL,20260615_12_AI,
