date,gas_burn_bcfd,mean_temp_gw,hdd_gw,cdd_gw,year,day_of_year
2026-03-12,23.856,47.07,17.93,0.0,2026,71
2026-03-13,24.36,43.66,21.34,0.0,2026,72
2026-03-14,13.19904,47.95,17.05,0.0,2026,73
2026-03-15,10.9206,48.53,16.47,0.0,2026,74
2026-03-16,11.59146,39.47,25.53,0.0,2026,75
2026-03-17,15.01704,35.0,30.0,0.0,2026,76
2026-03-18,1.66194,43.8,21.2,0.0,2026,77
2026-03-19,16.53606,54.5,10.5,0.0,2026,78
2026-03-20,16.5474,62.83,2.17,0.0,2026,79
2026-03-21,15.36678,62.5,2.5,0.0,2026,80
2026-03-22,11.60514,58.47,6.53,0.0,2026,81
2026-03-23,12.0204,46.61,18.39,0.0,2026,82
2026-03-24,16.05096,51.32,13.68,0.0,2026,83
2026-03-25,14.07402,60.1,4.9,0.0,2026,84
2026-03-26,13.25556,64.95,0.05,0.0,2026,85
2026-03-27,12.5388,47.17,17.83,0.0,2026,86
2026-03-28,13.6395,46.92,18.08,0.0,2026,87
2026-03-29,12.53574,57.76,7.24,0.0,2026,88
2026-03-30,12.10752,65.95,0.0,0.95,2026,89
2026-03-31,12.73446,64.92,0.08,0.0,2026,90
2026-04-01,14.12622,57.15,7.85,0.0,2026,91
2026-04-02,12.64572,54.69,10.31,0.0,2026,92
2026-04-03,12.70854,59.11,5.89,0.0,2026,93
2026-04-04,12.4965,59.06,5.94,0.0,2026,94
2026-04-05,12.04884,52.02,12.98,0.0,2026,95
2026-04-06,11.85048,51.77,13.23,0.0,2026,96
2026-04-07,13.40982,48.12,16.88,0.0,2026,97
2026-04-08,13.0554,56.16,8.84,0.0,2026,98
2026-04-09,12.33324,60.47,4.53,0.0,2026,99
2026-04-10,13.44402,59.96,5.04,0.0,2026,100
2026-04-11,13.74786,59.34,5.66,0.0,2026,101
2026-04-12,11.57904,66.04,0.0,1.04,2026,102
2026-04-13,11.15982,69.39,0.0,4.39,2026,103
2026-04-14,13.62636,71.77,0.0,6.77,2026,104
2026-04-15,14.94882,71.3,0.0,6.3,2026,105
2026-04-16,16.36074,71.42,0.0,6.42,2026,106
2026-04-17,14.79132,67.19,0.0,2.19,2026,107
2026-04-18,13.25862,57.96,7.04,0.0,2026,108
2026-04-19,12.54744,51.41,13.59,0.0,2026,109
2026-04-20,12.8178,54.85,10.15,0.0,2026,110
2026-04-21,13.25574,63.23,1.77,0.0,2026,111
2026-04-22,13.02606,64.25,0.75,0.0,2026,112
2026-04-23,12.61494,68.94,0.0,3.94,2026,113
2026-04-24,13.33476,64.95,0.05,0.0,2026,114
2026-04-25,15.25194,58.46,6.54,0.0,2026,115
2026-04-26,13.64616,59.46,5.54,0.0,2026,116
2026-04-27,13.5559776,63.2,1.8,0.0,2026,117
2026-04-28,15.9990528,59.68,5.32,0.0,2026,118
2026-04-29,16.9074816,57.51,7.49,0.0,2026,119
2026-04-30,16.6823424,55.12,9.88,0.0,2026,120
2026-05-01,16.443624,55.57,9.43,0.0,2026,121
2026-05-02,15.2931312,55.94,9.06,0.0,2026,122
2026-05-03,13.8027648,60.98,4.02,0.0,2026,123
2026-05-04,11.2732944,68.3,0.0,3.3,2026,124
2026-05-05,12.5196288,62.52,2.48,0.0,2026,125
2026-05-06,16.2568608,56.58,8.42,0.0,2026,126
2026-05-07,14.4272112,59.5,5.5,0.0,2026,127
2026-05-08,15.009936,63.38,1.62,0.0,2026,128
2026-05-09,14.0194416,64.9,0.1,0.0,2026,129
2026-05-10,13.27908,65.75,0.0,0.75,2026,130
2026-05-11,14.8139232,63.39,1.61,0.0,2026,131
2026-05-15,14.2026624,67.71,0.0,2.71,2026,135
2026-05-16,13.5947472,65.34,0.0,0.34,2026,136
2026-05-17,13.7773776,68.88,0.0,3.88,2026,137
2026-05-18,14.4112704,68.57,0.0,3.57,2026,138
2026-05-19,18.3183408,69.4,0.0,4.4,2026,139
2026-05-20,20.6395968,68.48,0.0,3.48,2026,140
2026-05-21,19.3058832,63.16,1.84,0.0,2026,141
2026-05-22,15.8947488,58.88,6.12,0.0,2026,142
2026-05-23,14.8973664,61.38,3.62,0.0,2026,143
2026-05-24,15.4476192,66.47,0.0,1.47,2026,144
2026-05-25,15.3193056,69.53,0.0,4.53,2026,145
2026-05-26,16.4060352,68.55,0.0,3.55,2026,146
2026-05-27,19.4790672,67.6,0.0,2.6,2026,147
2026-05-28,20.6368416,64.87,0.13,0.0,2026,148
2026-05-29,13.5483024,64.74,0.26,0.0,2026,149
2026-05-30,11.7111744,64.1,0.9,0.0,2026,150
2026-05-31,10.0458528,63.84,1.16,0.0,2026,151
2026-06-01,12.1171728,66.63,0.0,1.63,2026,152
2026-06-03,8.0928096,77.23,0.0,12.23,2026,154
2026-06-04,8.1512592,78.49,0.0,13.49,2026,155
2026-06-05,14.7621648,69.53333333333333,0.34,4.873333333333334,2026,156
2026-06-06,14.9406624,71.04,0.0,6.04,2026,157
2026-06-07,7.8842016,69.55666666666666,0.0,4.556666666666667,2026,158
2026-06-08,12.6339696,68.46666666666667,0.5833333333333334,4.05,2026,159
2026-06-09,20.6342832,70.35000000000001,0.06,5.41,2026,160
2026-06-10,21.1050288,72.35666666666667,0.0,7.356666666666666,2026,161
2026-06-11,22.006176,72.72,0.0,7.72,2026,162
2026-06-12,24.1172496,71.31333333333333,0.0,6.3133333333333335,2026,163
2026-06-13,21.8701872,70.73666666666666,0.0,5.736666666666667,2026,164
2026-06-14,19.3643328,68.56,0.1133333333333333,3.673333333333334,2026,165
2026-06-15,20.0643504,64.66333333333334,3.313333333333333,2.9766666666666666,2026,166
2026-06-16,20.0118048,64.39999999999999,3.603333333333333,3.0033333333333334,2026,167
2026-06-17,18.3411696,66.01,2.273333333333333,3.283333333333333,2026,168
2026-06-18,18.118392,67.60333333333334,0.6766666666666667,3.28,2026,169
2026-06-19,20.9255472,66.64666666666666,1.7733333333333334,3.42,2026,170
2026-06-20,19.2865968,66.41333333333334,2.203333333333333,3.616666666666666,2026,171
2026-06-21,17.2074048,66.42,1.97,3.39,2026,172
2026-06-22,17.8353936,66.50666666666666,1.5566666666666666,3.063333333333333,2026,173
2026-06-23,20.6338896,65.98,1.663333333333333,2.643333333333333,2026,174
2026-06-24,19.9236384,66.96333333333332,1.9466666666666663,3.91,2026,175
2026-06-25,19.883688,68.15666666666667,1.1833333333333331,4.34,2026,176
2026-06-26,19.8451152,67.69,0.77,3.4600000000000004,2026,177
2026-06-27,18.6501456,68.90333333333334,0.0,3.9033333333333338,2026,178
2026-06-28,17.343,70.42666666666666,0.0,5.426666666666667,2026,179
2026-06-29,18.6312528,73.69333333333333,0.0,8.693333333333333,2026,180
2026-06-30,22.2872064,75.96333333333332,0.0,10.963333333333331,2026,181
2026-07-01,23.863968,76.94666666666666,0.0,11.946666666666667,2026,182
2026-07-02,25.344888,78.78333333333333,0.0,13.783333333333331,2026,183
2026-07-03,24.9392832,78.94666666666667,0.0,13.946666666666667,2026,184
2026-07-04,23.731128,77.47666666666667,0.0,12.476666666666668,2026,185
2026-07-05,23.0860176,73.7,0.0,8.7,2026,186
2026-07-06,22.834704,72.40666666666667,0.0,7.406666666666666,2026,187
2026-07-07,24.1949856,71.45333333333333,0.0,6.453333333333333,2026,188
2026-07-08,24.0097968,73.28666666666668,0.0,8.286666666666667,2026,189
2026-07-09,24.972936,74.21333333333332,0.0,9.213333333333331,2026,190
