date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-04-11,44.3,,,20.7,,,,20.7,GEFS_35D,20260326_00,
2026-04-12,50.12,,,14.88,,,,14.88,GEFS_35D,20260326_00,
2026-04-13,50.17,,,14.83,,,,14.83,GEFS_35D,20260326_00,
2026-04-14,50.32,,,14.68,,,,14.68,GEFS_35D,20260326_00,
2026-04-15,51.99,,,13.01,,,,13.01,GEFS_35D,20260326_00,
2026-04-16,52.18,,,12.82,,,,12.82,GEFS_35D,20260326_00,
2026-04-17,52.08,,,12.92,,,,12.92,GEFS_35D,20260326_00,
2026-04-18,53.36,,,11.64,,,,11.64,GEFS_35D,20260326_00,
2026-04-19,53.4,,,11.6,,,,11.6,GEFS_35D,20260326_00,
2026-04-20,52.48,,,12.52,,,,12.52,GEFS_35D,20260326_00,
2026-04-21,52.7,,,12.3,,,,12.3,GEFS_35D,20260326_00,
2026-04-22,52.7,,,12.3,,,,12.3,GEFS_35D,20260326_00,
2026-04-23,52.77,,,12.23,,,,12.23,GEFS_35D,20260326_00,
2026-04-24,52.9,,,12.1,,,,12.1,GEFS_35D,20260326_00,
2026-04-25,53.22,,,11.78,,,,11.78,GEFS_35D,20260326_00,
2026-04-26,53.87,,,11.13,,,,11.13,GEFS_35D,20260326_00,
2026-04-27,55.22,,,9.78,,,,9.78,GEFS_35D,20260326_00,
2026-04-28,55.68,,,9.32,,,,9.32,GEFS_35D,20260326_00,
2026-04-29,56.24,,,8.76,,,,8.76,GEFS_35D,20260326_00,
2026-04-30,60.52,,,4.48,,,,4.48,GEFS_35D,20260326_00,
