date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-05-11,66.39,0.0,1.39,1.39,60.69,4.31,0.0,4.31,GFS,20260511_00,8.62
2026-05-12,67.6,0.0,2.6,2.6,59.42,5.58,0.0,5.58,GFS,20260511_00,11.16
2026-05-13,68.27,0.0,3.27,3.27,62.72,2.28,0.0,2.28,GFS,20260511_00,4.56
2026-05-14,67.62,0.0,2.62,2.62,59.45,5.55,0.0,5.55,GFS,20260511_00,11.1
2026-05-15,66.87,0.0,1.87,1.87,59.3,5.7,0.0,5.7,GFS,20260511_00,11.4
2026-05-16,68.13,0.0,3.13,3.13,64.26,0.74,0.0,0.74,GFS,20260511_00,1.48
2026-05-17,68.55,0.0,3.55,3.55,66.7,0.0,1.7,1.7,GFS,20260511_00,0.0
2026-05-18,68.58,0.0,3.58,3.58,68.71,0.0,3.71,3.71,GFS,20260511_00,0.0
2026-05-19,69.32,0.0,4.32,4.32,67.16,0.0,2.16,2.16,GFS,20260511_00,0.0
2026-05-20,70.76,0.0,5.76,5.76,66.63,0.0,1.63,1.63,GFS,20260511_00,0.0
2026-05-21,70.57,0.0,5.57,5.57,68.94,0.0,3.94,3.94,GFS,20260511_00,0.0
2026-05-22,69.66,0.0,4.66,4.66,71.16,0.0,6.16,6.16,GFS,20260511_00,0.0
2026-05-23,69.34,0.0,4.34,4.34,70.59,0.0,5.59,5.59,GFS,20260511_00,0.0
2026-05-24,69.53,0.0,4.53,4.53,68.96,0.0,3.96,3.96,GFS,20260511_00,0.0
2026-05-25,69.64,0.0,4.64,4.64,69.83,0.0,4.83,4.83,GFS,20260511_00,0.0
2026-05-26,70.98,0.0,5.98,5.98,73.04,0.0,8.04,8.04,GFS,20260511_00,0.0
2026-05-27,72.64,0.0,7.64,7.64,76.06,0.0,11.06,11.06,GFS,20260511_00,0.0
