date,mean_temp,hdd,cdd,tdd,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw,model,run_id,adjusted_hdd_signal
2026-09-25,61.12,3.88,0.0,3.88,61.12,3.88,0.0,3.88,GOOGLE_WN2,20260925_00,
2026-09-26,61.74,3.26,0.0,3.26,61.74,3.26,0.0,3.26,GOOGLE_WN2,20260925_00,
2026-09-27,61.77,3.23,0.0,3.23,61.77,3.23,0.0,3.23,GOOGLE_WN2,20260925_00,
2026-09-28,62.84,2.16,0.0,2.16,62.84,2.16,0.0,2.16,GOOGLE_WN2,20260925_00,
2026-09-29,64.22,0.78,0.0,0.78,64.22,0.78,0.0,0.78,GOOGLE_WN2,20260925_00,
2026-09-30,66.52,0.0,1.52,1.52,66.52,0.0,1.52,1.52,GOOGLE_WN2,20260925_00,
2026-10-01,68.56,0.0,3.56,3.56,68.56,0.0,3.56,3.56,GOOGLE_WN2,20260925_00,
2026-10-02,69.31,0.0,4.31,4.31,69.31,0.0,4.31,4.31,GOOGLE_WN2,20260925_00,
2026-10-03,67.26,0.0,2.26,2.26,67.26,0.0,2.26,2.26,GOOGLE_WN2,20260925_00,
2026-10-04,63.85,1.15,0.0,1.15,63.85,1.15,0.0,1.15,GOOGLE_WN2,20260925_00,
2026-10-05,60.62,4.38,0.0,4.38,60.62,4.38,0.0,4.38,GOOGLE_WN2,20260925_00,
2026-10-06,57.67,7.33,0.0,7.33,57.67,7.33,0.0,7.33,GOOGLE_WN2,20260925_00,
2026-10-07,57.32,7.68,0.0,7.68,57.32,7.68,0.0,7.68,GOOGLE_WN2,20260925_00,
2026-10-08,58.51,6.49,0.0,6.49,58.51,6.49,0.0,6.49,GOOGLE_WN2,20260925_00,
