date,mean_temp_simple,hdd_simple,cdd_simple,mean_temp_gw,hdd_gw,cdd_gw,tdd_gw
1991-01-01,28.45,36.55,0.0,27.66,37.34,0.0,37.34
1991-01-02,30.55,34.45,0.0,30.76,34.24,0.0,34.24
1991-01-03,26.65,38.35,0.0,27.13,37.87,0.0,37.87
1991-01-04,25.59,39.41,0.0,25.43,39.57,0.0,39.57
1991-01-05,29.86,35.14,0.0,29.21,35.79,0.0,35.79
1991-01-06,32.13,32.87,0.0,32.58,32.42,0.0,32.42
1991-01-07,30.49,34.51,0.0,29.86,35.14,0.0,35.14
1991-01-08,29.36,35.64,0.0,27.22,37.78,0.0,37.78
1991-01-09,32.42,32.58,0.0,31.68,33.32,0.0,33.32
1991-01-10,31.97,33.03,0.0,31.03,33.97,0.0,33.97
1991-01-11,34.22,30.78,0.0,31.54,33.46,0.0,33.46
1991-01-12,35.64,29.36,0.0,34.8,30.2,0.0,30.2
1991-01-13,33.23,31.77,0.0,30.77,34.23,0.0,34.23
1991-01-14,35.51,29.49,0.0,32.66,32.34,0.0,32.34
1991-01-15,37.1,27.9,0.0,35.36,29.64,0.0,29.64
1991-01-16,40.04,24.96,0.0,39.55,25.45,0.0,25.45
1991-01-17,37.15,27.85,0.0,37.42,27.58,0.0,27.58
1991-01-18,35.19,29.81,0.0,33.9,31.1,0.0,31.1
1991-01-19,37.46,27.54,0.0,36.21,28.79,0.0,28.79
1991-01-20,36.77,28.23,0.0,37.04,27.96,0.0,27.96
1991-01-21,26.47,38.53,0.0,26.01,38.99,0.0,38.99
1991-01-22,21.65,43.35,0.0,18.66,46.34,0.0,46.34
1991-01-23,27.97,37.03,0.0,25.5,39.5,0.0,39.5
1991-01-24,27.38,37.62,0.0,26.75,38.25,0.0,38.25
1991-01-25,22.71,42.29,0.0,20.45,44.55,0.0,44.55
1991-01-26,24.08,40.92,0.0,22.16,42.84,0.0,42.84
1991-01-27,29.86,35.14,0.0,28.6,36.4,0.0,36.4
1991-01-28,33.69,31.31,0.0,33.69,31.31,0.0,31.31
1991-01-29,31.19,33.81,0.0,30.57,34.43,0.0,34.43
1991-01-30,31.1,33.9,0.0,32.3,32.7,0.0,32.7
1991-01-31,31.0,34.0,0.0,30.46,34.54,0.0,34.54
1991-02-01,31.2,33.8,0.0,28.72,36.28,0.0,36.28
1991-02-02,38.06,26.94,0.0,36.15,28.85,0.0,28.85
1991-02-03,42.78,22.22,0.0,41.46,23.54,0.0,23.54
1991-02-04,45.2,19.8,0.0,44.06,20.94,0.0,20.94
1991-02-05,45.88,19.12,0.0,45.09,19.91,0.0,19.91
1991-02-06,43.85,21.15,0.0,43.29,21.71,0.0,21.71
1991-02-07,42.53,22.47,0.0,41.62,23.38,0.0,23.38
1991-02-08,41.07,23.93,0.0,40.42,24.58,0.0,24.58
1991-02-09,40.76,24.24,0.0,39.59,25.41,0.0,25.41
1991-02-10,39.59,25.41,0.0,38.12,26.88,0.0,26.88
1991-02-11,36.04,28.96,0.0,33.47,31.53,0.0,31.53
1991-02-12,34.78,30.22,0.0,30.25,34.75,0.0,34.75
1991-02-13,40.57,24.43,0.0,36.94,28.06,0.0,28.06
1991-02-14,41.1,23.9,0.0,39.25,25.75,0.0,25.75
1991-02-15,29.78,35.22,0.0,28.1,36.9,0.0,36.9
1991-02-16,25.96,39.04,0.0,21.54,43.46,0.0,43.46
