period,coal_mw,natural_gas_mw,nuclear_mw,solar_mw,wind_mw,load_mw,iso,date_only
2026-02-20T03,0.0,9505.0,3293.0,0.0,745.0,18594,NYISO,2026-02-20
2026-02-20T04,0.0,9173.0,3297.0,0.0,725.0,17703,NYISO,2026-02-20
2026-02-20T05,0.0,8645.0,3292.0,0.0,803.0,16797,NYISO,2026-02-20
2026-02-20T06,0.0,7453.0,3296.0,0.0,909.0,16175,NYISO,2026-02-20
2026-02-20T07,0.0,6957.0,3288.0,0.0,974.0,15732,NYISO,2026-02-20
2026-02-20T08,0.0,6735.0,3220.0,0.0,1102.0,15446,NYISO,2026-02-20
2026-02-20T09,0.0,6482.0,3225.0,0.0,1243.0,15366,NYISO,2026-02-20
2026-02-20T10,0.0,6532.0,3286.0,0.0,1350.0,15568,NYISO,2026-02-20
2026-02-20T11,0.0,7295.0,3303.0,0.0,1358.0,16242,NYISO,2026-02-20
2026-02-20T12,0.0,8073.0,3304.0,0.0,1382.0,17330,NYISO,2026-02-20
2026-02-20T13,0.0,8773.0,3304.0,0.0,1472.0,18292,NYISO,2026-02-20
2026-02-20T14,0.0,9107.0,3306.0,0.0,1476.0,19016,NYISO,2026-02-20
2026-02-20T15,0.0,9028.0,3304.0,0.0,1571.0,19463,NYISO,2026-02-20
2026-02-20T16,0.0,9024.0,3309.0,0.0,1603.0,19708,NYISO,2026-02-20
2026-02-20T17,0.0,9145.0,3314.0,0.0,1657.0,19807,NYISO,2026-02-20
2026-02-20T18,0.0,9258.0,3313.0,0.0,1638.0,19805,NYISO,2026-02-20
2026-02-20T19,0.0,9198.0,3296.0,0.0,1592.0,19718,NYISO,2026-02-20
2026-02-20T20,0.0,9222.0,3300.0,0.0,1680.0,19647,NYISO,2026-02-20
2026-02-20T21,0.0,9550.0,3310.0,0.0,1636.0,19712,NYISO,2026-02-20
2026-02-20T22,0.0,9786.0,3307.0,0.0,1579.0,20103,NYISO,2026-02-20
2026-02-20T23,0.0,9914.0,3310.0,0.0,1383.0,20477,NYISO,2026-02-20
2026-02-21T00,0.0,9993.0,3295.0,0.0,1428.0,20410,NYISO,2026-02-21
2026-02-21T01,0.0,9621.0,3285.0,0.0,1354.0,19962,NYISO,2026-02-21
2026-02-21T02,0.0,8931.0,3282.0,0.0,1313.0,19445,NYISO,2026-02-21
2026-02-21T03,0.0,8701.0,3274.0,0.0,1453.0,18780,NYISO,2026-02-21
2026-02-21T04,0.0,8414.0,3273.0,0.0,1392.0,17949,NYISO,2026-02-21
2026-02-21T05,0.0,8163.0,3281.0,0.0,1319.0,17085,NYISO,2026-02-21
2026-02-21T06,0.0,7655.0,3224.0,0.0,1154.0,16455,NYISO,2026-02-21
2026-02-21T07,0.0,7363.0,3212.0,0.0,1122.0,15986,NYISO,2026-02-21
2026-02-21T08,0.0,6981.0,3140.0,0.0,1095.0,15656,NYISO,2026-02-21
2026-02-21T09,0.0,6915.0,3135.0,0.0,1037.0,15492,NYISO,2026-02-21
2026-02-21T10,0.0,7011.0,3149.0,0.0,864.0,15503,NYISO,2026-02-21
2026-02-21T11,0.0,7347.0,3284.0,0.0,658.0,15734,NYISO,2026-02-21
2026-02-21T12,0.0,7872.0,3299.0,0.0,538.0,16240,NYISO,2026-02-21
2026-02-21T13,0.0,8134.0,3313.0,0.0,450.0,16699,NYISO,2026-02-21
