date,iso,natural_gas_mw,wind_mw,solar_mw,coal_mw,nuclear_mw,load_mw,total_thermal_mw,gas_pct_thermal,gas_pct_load,wind_30d_avg_mw,wind_anomaly_mw,gas_burn_impact
2026-03-14,CAISO,3689,1988,2920,0.0,2282,27028,,,,1604,384,NEUTRAL
2026-03-14,ERCOT,19417,13368,3782,4396.0,5091,50040,,,,16617,-3249,BULLISH (Wind Drought)
2026-03-14,ISONE,7576,542,2,6.0,3612,14487,,,,810,-268,NEUTRAL
2026-03-14,MISO,28035,10058,515,17858.0,9294,70326,,,,15075,-5018,BULLISH (Wind Drought)
2026-03-14,NATIONAL,73328,37093,6059,27762.0,34577,208137,135667.0,54.0,35.2,52737,-15644,BULLISH (Wind Drought)
2026-03-14,NYISO,8515,1363,0,0.0,2100,18276,,,,872,491,NEUTRAL
2026-03-14,PJM,39303,7852,120,12484.0,30288,92642,,,,5160,2692,BEARISH (Strong Wind)
2026-03-14,SPP,5728,17915,0,6622.0,2028,32864,,,,14822,3093,BEARISH (Strong Wind)
2026-03-15,CAISO,1661,3905,3091,0.0,2283,24314,,,,1628,2277,BEARISH (Strong Wind)
2026-03-15,ERCOT,11790,25516,2568,5202.0,5090,53631,,,,16672,8843,BEARISH (Strong Wind)
2026-03-15,ISONE,6591,1369,1,2.0,3639,13901,,,,846,523,NEUTRAL
2026-03-15,MISO,23114,22848,461,15332.0,8091,68903,,,,15017,7832,BEARISH (Strong Wind)
2026-03-15,NATIONAL,60670,56414,5303,25790.0,33209,204089,119669.0,50.7,29.7,52646,3767,NEUTRAL
2026-03-15,NYISO,7805,857,0,0.0,2096,17276,,,,916,-58,NEUTRAL
2026-03-15,PJM,38080,6816,84,11184.0,29374,89182,,,,5165,1651,BEARISH (Strong Wind)
2026-03-15,SPP,5728,17915,0,6622.0,2028,32864,,,,14627,3288,BEARISH (Strong Wind)
2026-03-16,CAISO,4056,701,3593,0.0,2282,24695,,,,1669,-967,NEUTRAL
2026-03-16,ERCOT,16248,23648,1845,4547.0,5090,52930,,,,16643,7005,BEARISH (Strong Wind)
2026-03-16,ISONE,6624,979,0,2.0,3602,14190,,,,821,158,NEUTRAL
2026-03-16,MISO,22892,21670,92,18137.0,8069,71408,,,,15233,6437,BEARISH (Strong Wind)
2026-03-16,NATIONAL,64397,52339,5002,27592.0,33572,206015,125561.0,51.3,31.3,53205,-867,NEUTRAL
2026-03-16,NYISO,7717,1379,0,0.0,2079,17404,,,,927,452,NEUTRAL
2026-03-16,PJM,35170,8966,46,11654.0,30093,89214,,,,5293,3673,BEARISH (Strong Wind)
2026-03-16,SPP,5728,17915,0,6622.0,2028,32864,,,,14843,3072,BEARISH (Strong Wind)
2026-03-17,CAISO,5720,740,4342,0.0,2275,28932,,,,1683,-942,NEUTRAL
2026-03-17,ERCOT,27258,7476,1963,6012.0,5104,52783,,,,16707,-9232,BULLISH (Wind Drought)
2026-03-17,ISONE,6572,1314,3,5.0,3565,13778,,,,847,467,NEUTRAL
2026-03-17,MISO,32540,20748,402,19825.0,8123,82809,,,,15216,5532,BEARISH (Strong Wind)
2026-03-17,NATIONAL,83428,40557,6065,31935.0,34132,223761,149495.0,55.8,37.3,53560,-13003,BULLISH (Wind Drought)
2026-03-17,NYISO,7971,1047,0,0.0,2041,17413,,,,972,75,NEUTRAL
2026-03-17,PJM,39537,9644,56,15308.0,31075,99190,,,,5338,4306,BEARISH (Strong Wind)
2026-03-17,SPP,5728,17915,0,6622.0,2028,32864,,,,15050,2865,BEARISH (Strong Wind)
2026-03-18,CAISO,7338,1132,4184,0.0,2275,31836,,,,1712,-580,NEUTRAL
2026-03-18,ERCOT,11498,23646,2622,4908.0,5106,49877,,,,16606,7040,BEARISH (Strong Wind)
2026-03-18,ISONE,7223,1814,2,5.0,3610,14812,,,,877,937,NEUTRAL
2026-03-18,MISO,32795,18900,280,19920.0,8133,80281,,,,15158,3742,BEARISH (Strong Wind)
2026-03-18,NATIONAL,9233,903,0,0.0,2077,19019,11310.0,81.6,48.5,1015,-112,NEUTRAL
2026-03-18,NYISO,9233,903,0,0.0,2077,19019,,,,1015,-112,NEUTRAL
2026-03-18,PJM,50314,2705,131,17630.0,31285,110339,,,,5500,-2794,BULLISH (Wind Drought)
2026-03-18,SPP,6710,19567,184,5730.0,2036,34034,,,,15277,4290,BEARISH (Strong Wind)
2026-03-19,CAISO,8414,1141,4407,0.0,2275,33162,,,,1730,-589,NEUTRAL
2026-03-19,ERCOT,18186,15083,3222,5334.0,5107,50073,,,,16984,-1901,BULLISH (Wind Drought)
2026-03-19,ISONE,9146,69,2,4.0,3595,15311,,,,877,-808,NEUTRAL
2026-03-19,MISO,34499,6278,554,21093.0,8109,72395,,,,14856,-8578,BULLISH (Wind Drought)
2026-03-19,NATIONAL,91867,24054,7271,35312.0,34257,222932,161436.0,56.9,41.2,53757,-29703,BULLISH (Wind Drought)
2026-03-19,NYISO,9961,452,0,0.0,2047,19070,,,,974,-522,NEUTRAL
2026-03-19,PJM,47134,1153,76,18124.0,31265,104784,,,,5332,-4179,BULLISH (Wind Drought)
2026-03-19,SPP,11156,9379,171,8507.0,2034,31877,,,,15297,-5918,BULLISH (Wind Drought)
2026-03-20,CAISO,9782,777,4220,0.0,2274,33290,,,,1735,-958,NEUTRAL
2026-03-20,ERCOT,19913,17488,4066,5318.0,5104,54663,,,,16939,549,NEUTRAL
2026-03-20,ISONE,7942,396,3,8.0,3565,14952,,,,895,-499,NEUTRAL
2026-03-20,MISO,34499,6278,554,21093.0,8109,72149,,,,14765,-8488,BULLISH (Wind Drought)
2026-03-20,NATIONAL,91930,23429,7774,35131.0,34183,220389,161244.0,57.0,41.7,53143,-29715,BULLISH (Wind Drought)
2026-03-20,NYISO,9944,504,0,0.0,2060,18259,,,,971,-466,NEUTRAL
2026-03-20,PJM,40884,1530,131,15212.0,31159,93790,,,,5240,-3710,BULLISH (Wind Drought)
2026-03-20,SPP,13580,6003,249,10595.0,2033,33525,,,,14853,-8851,BULLISH (Wind Drought)
2026-03-21,CAISO,9650,697,4376,0.0,2271,33380,,,,1655,-958,NEUTRAL
2026-03-21,ERCOT,21394,18071,4029,6641.0,4508,57208,,,,17221,850,NEUTRAL
