date,GFS OP CHG,GFS ENS CHG,ECMWF OP CHG,EURO ENS CHG,CMC ENS CHG,EURO AI CHG,HRRR CHG,NAM CHG,NBM CHG
2026-03-13,-9.7,-9.6,10.2,,0.0,-10.5,,,
2026-03-14,-11.5,-9.3,9.4,3.5,0.0,-10.4,-0.2,0.0,0.1
2026-03-15,-8.0,-6.9,10.4,2.5,0.0,-7.6,,-0.1,-2.3
2026-03-16,-4.2,-6.0,9.6,1.2,0.0,-6.3,,-0.0,-0.7
2026-03-17,,-9.3,10.2,3.6,0.0,-9.1,,,-9.4
2026-03-18,,-12.1,9.5,4.5,0.0,-12.3,,,-12.0
2026-03-19,,-11.6,10.3,3.5,0.0,-13.2,,,0.4
2026-03-20,,-11.1,11.2,2.6,0.0,-14.4,,,0.4
2026-03-21,,-11.1,10.3,1.6,0.0,-12.4,,,
2026-03-22,,-10.2,13.6,4.5,0.0,-11.5,,,
2026-03-23,,-8.8,10.9,3.9,0.0,-11.2,,,
2026-03-24,,-8.2,8.0,2.7,0.0,-7.4,,,
2026-03-25,,-8.0,9.9,3.3,0.0,-8.3,,,
2026-03-26,,-7.5,14.6,4.3,0.0,-5.2,,,
2026-03-27,,-7.8,16.6,4.1,0.0,-5.0,,,
2026-03-28,,-7.8,17.9,,0.0,-9.2,,,
2026-03-29,,-8.2,,,-0.9,,,,
