date,mean_temp,tdd,model,run_id,mean_temp_gw,tdd_gw
2026-02-22,31.29,33.71,OM_GFS,20260222_OM,,
2026-02-23,26.39,38.61,OM_GFS,20260222_OM,,
2026-02-24,27.89,37.11,OM_GFS,20260222_OM,,
2026-02-25,33.03,31.97,OM_GFS,20260222_OM,,
2026-02-26,35.69,29.31,OM_GFS,20260222_OM,,
2026-02-27,35.56,29.44,OM_GFS,20260222_OM,,
2026-02-28,39.56,25.44,OM_GFS,20260222_OM,,
2026-03-01,40.94,24.06,OM_GFS,20260222_OM,,
2026-03-02,36.23,28.77,OM_GFS,20260222_OM,,
2026-03-03,43.8,21.2,OM_GFS,20260222_OM,,
2026-03-04,48.52,16.48,OM_GFS,20260222_OM,,
2026-03-05,50.69,14.31,OM_GFS,20260222_OM,,
2026-03-06,54.21,10.79,OM_GFS,20260222_OM,,
2026-03-07,53.57,11.43,OM_GFS,20260222_OM,,
2026-03-08,47.96,17.04,OM_GFS,20260222_OM,,
2026-03-09,49.8,15.2,OM_GFS,20260222_OM,,
