date,power_burn_cdd,run_id
2026-02-22,0.0,20260222_2233
2026-02-23,0.0,20260222_2233
2026-02-24,0.01,20260222_2233
2026-02-25,0.39,20260222_2233
2026-02-26,1.95,20260222_2233
2026-02-27,0.42,20260222_2233
2026-02-28,0.31,20260222_2233
2026-03-01,0.72,20260222_2233
2026-03-02,2.63,20260222_2233
2026-03-03,2.97,20260222_2233
2026-03-04,3.64,20260222_2233
2026-03-05,3.43,20260222_2233
2026-03-06,4.18,20260222_2233
2026-03-07,4.65,20260222_2233
2026-03-08,4.7,20260222_2233
2026-03-09,4.02,20260222_2233
