model,run_id,tdd,tdd_gw,prev_tdd,hdd_change,prev_tdd_gw,hdd_change_gw,fast_revision
CMC_ENS,20260225_00,368.17,368.17,,,,,False
CMC_ENS,20260226_00,368.17,368.17,368.17,0.0,368.17,0.0,False
ECMWF,20260221_12,443.82,645.95,,,,,False
ECMWF,20260222_12,441.49,659.1,443.82,-2.329999999999984,645.95,13.149999999999977,True
ECMWF,20260223_00,284.14,502.19,441.49,-157.35000000000002,659.1,-156.91000000000003,True
ECMWF,20260223_12,379.83,552.62,284.14,95.69,502.19,50.43000000000001,True
ECMWF,20260224_00,245.43,421.28000000000003,379.83,-134.39999999999998,552.62,-131.33999999999997,True
ECMWF,20260224_12,361.27,505.65,245.43,115.83999999999997,421.28000000000003,84.36999999999995,True
ECMWF,20260225_00,206.74,349.32,361.27,-154.52999999999997,505.65,-156.32999999999998,True
ECMWF,20260225_12,327.96,447.90999999999997,206.74,121.21999999999997,349.32,98.58999999999997,True
ECMWF,20260226_00,201.7,299.2,327.96,-126.25999999999999,447.90999999999997,-148.70999999999998,True
ECMWF,20260226_12,320.63,320.63,201.7,118.93,299.2,21.430000000000007,True
ECMWF,20260227_00,196.72,196.72,320.63,-123.91,320.63,-123.91,True
ECMWF_AIFS,20260227_06,275.91,275.91,,,,,False
ECMWF_ENS,20260224_12,361.34,524.84,,,,,False
ECMWF_ENS,20260226_00,306.14,306.14,361.34,-55.19999999999999,524.84,-218.70000000000005,True
ECMWF_ENS,20260227_00,371.19,371.19,306.14,65.05000000000001,306.14,65.05000000000001,True
FOURCASTNETV2-SMALL,20260223_12_AI,513.8725,513.8725,,,,,False
FOURCASTNETV2-SMALL,20260226_12_AI,385.255,385.255,513.8725,-128.61749999999995,513.8725,-128.61749999999995,True
GEFS,20260222_00,156.71225806451613,156.71225806451613,,,,,False
GEFS,20260227_00,212.34548387096774,212.34548387096774,156.71225806451613,55.633225806451605,156.71225806451613,55.633225806451605,True
GEFS,20260227_06,299.6835483870968,299.6835483870968,212.34548387096774,87.33806451612904,212.34548387096774,87.33806451612904,True
GEFS_35D,20260225_00,416.92,416.92,,,,,False
GEFS_35D,20260226_00,438.95,438.95,416.92,22.029999999999973,416.92,22.029999999999973,True
GFS,20260221_12,354.48,501.44,,,,,False
GFS,20260222_00,222.25,352.93,354.48,-132.23000000000002,501.44,-148.51,True
GFS,20260223_06,301.51,433.58,222.25,79.25999999999999,352.93,80.64999999999998,True
GFS,20260223_12,354.98,514.5600000000001,301.51,53.47000000000003,433.58,80.98000000000008,True
GFS,20260223_18,237.83,384.65,354.98,-117.15,514.5600000000001,-129.91000000000008,True
GFS,20260224_00,250.64,408.6,237.83,12.809999999999974,384.65,23.950000000000045,True
GFS,20260224_06,324.84,455.21,250.64,74.19999999999999,408.6,46.60999999999996,True
GFS,20260224_12,355.25,491.07,324.84,30.410000000000025,455.21,35.860000000000014,True
GFS,20260224_18,217.1,324.03,355.25,-138.15,491.07,-167.04000000000002,True
GFS,20260225_00,237.06,381.49,217.1,19.960000000000008,324.03,57.460000000000036,True
GFS,20260225_06,311.76,440.15,237.06,74.69999999999999,381.49,58.65999999999997,True
GFS,20260225_12,354.48,463.18,311.76,42.72000000000003,440.15,23.03000000000003,True
GFS,20260225_18,212.73,298.03000000000003,354.48,-141.75000000000003,463.18,-165.14999999999998,True
GFS,20260226_00,220.94,323.91,212.73,8.210000000000008,298.03000000000003,25.879999999999995,True
GFS,20260226_06,299.93,387.89,220.94,78.99000000000001,323.91,63.97999999999996,True
GFS,20260226_12,336.65,336.65,299.93,36.71999999999997,387.89,-51.24000000000001,True
GFS,20260226_18,214.84,214.84,336.65,-121.80999999999997,336.65,-121.80999999999997,True
GFS,20260227_00,225.85,225.85,214.84,11.009999999999991,214.84,11.009999999999991,True
GFS,20260227_06,306.33,306.33,225.85,80.47999999999999,225.85,80.47999999999999,True
HRRR,20260222_03,24.41,24.41,,,,,False
HRRR,20260222_04,24.125,24.125,24.41,-0.28500000000000014,24.41,-0.28500000000000014,False
HRRR,20260227_15,26.495333333333335,26.495333333333335,24.125,2.3703333333333347,24.125,2.3703333333333347,False
NAM,20260222_00,102.69975,102.69975,,,,,False
NBM,20260227_12,51.37375,51.37375,,,,,False
