date,30yr_hdd,10yr_hdd,30yr_cdd,10yr_cdd
2026-09-20,1.6,0.8,2.2,4.8
2026-09-21,1.6,0.7,2.4,5.4
2026-09-22,1.8,0.5,2.1,3.6
2026-09-23,2.2,1.3,2.0,3.1
2026-09-24,2.6,0.9,1.7,2.4
2026-09-25,2.4,0.5,1.3,2.1
2026-09-26,2.3,0.7,1.4,2.4
2026-09-27,2.1,1.3,1.2,2.4
2026-09-28,2.5,2.0,0.9,1.8
2026-09-29,3.9,2.8,0.4,0.9
2026-09-30,4.7,2.9,0.4,1.1
2026-10-01,4.9,2.8,0.5,1.1
2026-10-02,5.0,2.9,0.8,1.3
2026-10-03,4.8,2.6,0.7,1.0
2026-10-04,5.1,2.9,0.8,1.4
2026-10-05,6.2,3.2,0.7,0.9
2026-10-06,6.1,1.7,0.6,0.7
2026-10-07,6.3,2.2,0.7,1.0
2026-10-08,6.4,5.1,0.6,0.9
2026-10-09,6.0,6.2,0.6,1.1
2026-10-10,6.4,5.4,0.3,1.1
2026-10-11,7.1,5.0,0.0,0.2
2026-10-12,8.0,6.0,0.0,0.0
2026-10-13,8.5,7.6,0.0,0.0
2026-10-14,8.6,8.3,0.0,0.2
2026-10-15,9.2,8.5,0.0,0.0
