date,model,total_solar_gw,national_cf_pct,national_cf_peak_pct,climo_cf_pct,anomaly_cf_pct,drought_flag
2026-04-28,GFS,10.44,21.8,40.2,40.5,-0.3,0
2026-04-29,GFS,9.9,20.6,38.1,42.8,-4.7,0
2026-04-30,GFS,9.64,20.1,37.1,43.6,-6.5,0
2026-05-01,GFS,10.14,21.1,41.5,42.0,-0.5,0
2026-05-02,GFS,9.4,19.6,35.7,40.5,-4.7,0
2026-05-03,GFS,10.55,22.0,40.9,40.8,0.1,0
2026-05-04,GFS,10.53,21.9,40.8,34.1,6.7,0
2026-05-05,GFS,9.97,20.8,37.7,34.6,3.0,0
2026-05-06,GFS,10.33,21.5,38.9,39.0,-0.1,0
2026-05-07,GFS,10.22,21.3,39.0,42.4,-3.4,0
2026-05-08,GFS,10.23,21.3,37.9,42.8,-4.9,0
2026-05-09,GFS,9.83,20.5,37.7,43.6,-5.8,0
2026-05-10,GFS,10.58,22.0,39.9,44.8,-4.9,0
2026-05-11,GFS,11.22,23.4,42.7,43.8,-1.2,0
2026-05-12,GFS,11.19,23.3,42.0,43.6,-1.5,0
2026-05-13,GFS,11.13,23.2,42.3,43.9,-1.6,0
2026-04-28,ECMWF,10.24,21.3,39.6,40.5,-0.9,0
2026-04-29,ECMWF,9.89,20.6,37.5,42.8,-5.3,0
2026-04-30,ECMWF,10.19,21.2,40.3,43.6,-3.3,0
2026-05-01,ECMWF,9.6,20.0,37.8,42.0,-4.2,0
2026-05-02,ECMWF,8.69,18.1,32.2,40.5,-8.3,0
2026-05-03,ECMWF,11.24,23.4,44.9,40.8,4.1,0
2026-05-04,ECMWF,10.11,21.1,39.3,34.1,5.2,0
2026-05-05,ECMWF,9.92,20.7,38.7,34.6,4.1,0
2026-05-06,ECMWF,10.08,21.0,38.7,39.0,-0.3,0
2026-05-07,ECMWF,10.25,21.3,38.4,42.4,-4.1,0
