date,model,total_wind_gw,national_cf_pct,national_cf_peak_pct,national_cf_offpeak_pct,national_cf_shoulder_pct,climo_cf_pct,anomaly_cf_pct,drought_flag,gfs_p10_gw,gfs_p90_gw
2026-05-10,GFS,21.45,20.2,15.8,23.6,20.9,19.6,0.6,1,,
2026-05-11,GFS,14.27,13.5,7.9,19.9,11.5,22.8,-9.3,1,,
2026-05-12,GFS,38.29,36.1,33.0,34.8,41.4,23.5,12.7,0,,
2026-05-13,GFS,17.4,16.4,11.3,24.9,11.3,21.9,-5.5,1,,
2026-05-14,GFS,47.46,44.8,51.5,46.4,35.1,19.3,25.4,0,,
2026-05-15,GFS,45.74,43.1,24.7,52.0,52.9,27.2,16.0,0,,
2026-05-16,GFS,41.41,39.1,28.0,47.2,41.3,18.0,21.0,0,,
2026-05-17,GFS,39.85,37.6,25.6,48.6,37.2,20.9,16.7,0,,
2026-05-18,GFS,49.23,46.4,58.4,49.1,29.4,19.7,26.7,0,,
2026-05-19,GFS,45.02,42.5,39.6,45.9,41.3,28.4,14.0,0,,
2026-05-20,GFS,37.3,35.2,24.1,40.7,40.8,32.1,3.1,0,,
2026-05-21,GFS,37.66,35.5,27.3,41.4,37.4,30.1,5.4,0,,
2026-05-22,GFS,20.49,19.3,12.4,29.8,13.9,21.4,-2.0,1,,
2026-05-23,GFS,31.13,29.4,29.4,34.6,22.6,23.3,6.1,1,,
2026-05-24,GFS,45.96,43.4,34.7,46.0,49.9,25.1,18.2,0,,
2026-05-25,GFS,44.72,42.2,31.5,53.4,39.9,27.8,14.4,0,,
2026-05-10,ECMWF,18.62,17.6,10.5,24.4,16.8,19.6,-2.1,1,,
2026-05-11,ECMWF,10.96,10.3,4.4,16.6,9.1,22.8,-12.5,1,,
2026-05-12,ECMWF,22.36,21.1,14.3,18.9,31.7,23.5,-2.4,1,,
2026-05-13,ECMWF,15.52,14.6,7.1,21.3,14.7,21.9,-7.3,1,,
2026-05-14,ECMWF,31.89,30.1,33.7,27.0,29.8,19.3,10.7,0,,
2026-05-15,ECMWF,51.25,48.4,29.9,53.0,63.4,27.2,21.2,0,,
2026-05-16,ECMWF,32.74,30.9,26.5,28.8,38.6,18.0,12.9,0,,
2026-05-17,ECMWF,21.9,20.7,18.2,17.3,27.8,20.9,-0.2,1,,
2026-05-18,ECMWF,38.92,36.7,29.2,33.5,49.4,19.7,17.0,0,,
2026-05-19,ECMWF,20.08,18.9,15.8,19.3,22.1,28.4,-9.5,1,,
2026-05-10,ICON,14.72,13.9,16.1,15.7,9.0,19.6,-5.7,1,,
2026-05-11,ICON,9.79,9.2,5.9,14.4,6.5,22.8,-13.6,1,,
2026-05-12,ICON,30.44,28.7,24.1,28.1,34.9,23.5,5.2,1,,
2026-05-13,ICON,18.39,17.3,12.7,25.0,12.9,21.9,-4.6,1,,
2026-05-14,ICON,38.5,36.3,35.5,34.0,40.2,19.3,17.0,0,,
2026-05-15,ICON,25.76,24.3,23.6,29.2,18.7,27.2,-2.9,1,,
2026-05-16,ICON,23.29,22.0,22.5,27.6,14.1,18.0,3.9,1,,
2026-05-10,GFS_CFS,21.21,20.0,17.4,20.8,22.0,19.6,0.4,1,,
2026-05-11,GFS_CFS,14.63,13.8,8.3,20.1,11.9,22.8,-9.0,1,,
2026-05-12,GFS_CFS,38.16,36.0,31.1,33.3,45.1,23.5,12.5,0,,
2026-05-13,GFS_CFS,15.28,14.4,7.4,22.2,12.3,21.9,-7.5,1,,
2026-05-14,GFS_CFS,41.3,39.0,48.7,30.1,39.2,19.3,19.6,0,,
2026-05-15,GFS_CFS,42.27,39.9,26.4,43.9,50.1,27.2,12.7,0,,
2026-05-16,GFS_CFS,26.35,24.9,12.6,32.8,28.6,18.0,6.8,1,,
2026-05-17,GFS_CFS,16.91,16.0,9.4,21.0,17.0,20.9,-4.9,1,,
2026-05-18,GFS_CFS,44.57,42.0,55.0,33.8,37.9,19.7,22.4,0,,
2026-05-19,GFS_CFS,47.12,44.5,28.9,46.8,59.2,28.4,16.0,0,,
2026-05-20,GFS_CFS,39.51,37.3,32.6,39.6,39.6,32.1,5.2,0,,
