date,wind_speed_ms,wind_anomaly,gas_burn_impact,run_id
2026-02-22,2.71,-3.29,BULLISH (Wind Drought),20260222_1852
2026-02-23,4.22,-1.78,BULLISH (Wind Drought),20260222_1852
2026-02-24,7.29,1.29,NEUTRAL,20260222_1852
2026-02-25,6.85,0.85,NEUTRAL,20260222_1852
2026-02-26,7.91,1.91,NEUTRAL,20260222_1852
2026-02-27,5.87,-0.13,NEUTRAL,20260222_1852
2026-02-28,8.67,2.67,BEARISH (High Wind),20260222_1852
2026-03-01,6.47,0.47,NEUTRAL,20260222_1852
2026-03-02,6.25,0.25,NEUTRAL,20260222_1852
2026-03-03,6.16,0.16,NEUTRAL,20260222_1852
2026-03-04,6.45,0.45,NEUTRAL,20260222_1852
2026-03-05,5.44,-0.56,NEUTRAL,20260222_1852
2026-03-06,5.42,-0.58,NEUTRAL,20260222_1852
2026-03-07,5.15,-0.85,NEUTRAL,20260222_1852
2026-03-08,6.21,0.21,NEUTRAL,20260222_1852
2026-03-09,7.53,1.53,NEUTRAL,20260222_1852
